CoreDepth_cm	Years_B1950	TOC_wtPercent
2.0	-52	26.66
6.5	-30.1	22.21
7.5	-19.5	23.50
8.5	-8.5	17.13
9.5	2.5	14.29
10.5	13.4	17.81
11.5	24.4	17.29
12.5	35.4	20.00
13.5	46.4	18.77
14.5	57.3	19.44
15.5	68.3	17.69
16.5	79.3	19.68
17.5	90.2	15.10
18.5	101.2	16.70
20.0	117.7	15.66
22.0	139.6	9.89
27.0	194.5	16.51
30.0	227.4	14.89
32.0	249.4	14.86
33.0	260.3	13.52
35.0	282.3	13.92
37.0	304.2	12.45
39.0	326.2	13.57
42.0	359.1	14.06
44.0	381.0	14.21
47.0	413.9	16.75
49.0	435.9	17.34
52.0	468.8	15.22
55.0	501.7	18.83
57.0	523.7	17.12
60.0	556.6	21.55
62.0	578.5	19.98
64.7	617.4	17.69
66.0	636.5	21.08
67.0	653.0	18.78
69.0	686.2	19.00
70.0	702.8	19.39
72.0	736.0	19.50
73.0	752.5	17.77
75.0	785.7	15.86
77.0	818.9	19.35
79.0	852.0	18.85
81.0	893.8	18.44
84.0	961.9	16.85
86.0	1007.3	18.78
87.0	1030.1	17.13
89.0	1075.5	14.60
92.0	1143.6	17.29
95.0	1211.7	15.29
96.0	1234.5	12.46
98.0	1279.9	15.35
100.0	1325.3	18.05
102.0	1370.7	19.19
105.0	1438.9	17.39
107.0	1484.3	16.78
108.0	1507.0	5.52
111.0	1575.1	5.43
113.0	1620.5	14.88
114.0	1643.2	18.70
116.0	1688.7	18.21
118.0	1734.1	18.46
121.0	1802.2	19.74
123.0	1847.6	21.39
124.0	1869.1	22.42
126.0	1909.7	21.28
129.0	1970.4	20.07
132.0	2031.2	20.22
133.0	2051.5	17.34
138.0	2152.8	22.14
143.0	2254.1	22.71
162.4	2641.2	18.93
168.1	2757.3	22.25
172.8	2826.7	15.45
179.0	2902.1	13.86
183.2	2952.4	12.58
189.5	3027.9	11.23
193.6	3078.2	16.18
199.9	3153.7	14.79
204.0	3204.0	18.16
209.3	3266.8	15.88
