Date	SWE_Inches
1958-02-01	8.6
1958-03-01	16.3
1958-04-01	29
1959-02-01	3
1959-03-01	12
1959-04-01	6
1960-02-01	4.4
1960-03-01	9.8
1960-04-01	6.2
1960-05-01	0
1961-02-01	7.2
1961-03-01	6.9
1961-04-01	7.5
1961-05-01	0
1962-02-01	8.4
1962-03-01	22.8
1962-04-01	26.4
1962-05-01	0
1963-03-01	7.6
1963-04-01	11.2
1963-05-01	12.8
1964-02-01	7
1964-03-01	6.2
1964-04-01	5
1964-05-01	0
1965-02-01	15.5
1965-03-01	15
1965-04-01	12.1
1965-05-01	0
1966-02-01	16.6
1966-03-01	12.7
1966-04-01	0
1966-05-01	0
1967-02-01	16.2
1967-03-01	15.1
1967-04-01	19.4
1967-05-01	23.4
1967-06-01	
1968-02-01	7.6
1968-03-01	7.4
1968-04-01	2.2
1968-05-01	0
1969-02-01	28.6
1969-03-01	45.1
1969-04-01	46.4
1969-05-01	32.9
1969-06-01	
1970-02-01	10.6
1970-03-01	11.3
1970-04-01	8.5
1970-05-01	0
1971-02-01	14.3
1971-03-01	14.1
1971-04-01	10.4
1971-05-01	0
1972-02-01	12
1972-03-01	12.5
1972-04-01	0
1972-05-01	0
1973-02-01	14.3
1973-03-01	20.9
1973-04-01	23.6
1974-02-01	14.8
1974-03-01	15.7
1974-04-01	18.3
1974-05-01	5.7
1975-02-01	5.6
1975-03-01	11.4
1975-04-01	17.5
1975-06-01	
1976-03-01	1.9
1976-04-01	0
1977-03-01	0
1977-04-01	0.6
1978-02-01	21
1978-03-01	29.2
1978-04-01	33.5
1979-02-01	11
1979-03-01	17.8
1979-04-01	19.4
1980-01-01	0
1980-02-01	12.5
1980-03-01	23.4
1980-04-01	25.8
1981-03-01	11.2
1981-04-01	15.4
1981-05-01	0
1982-02-01	16.3
1982-03-01	18.1
1982-04-01	
1983-01-01	15.6
1983-02-01	25.1
1983-03-01	33.4
1983-04-01	41
1984-02-01	10.8
1984-03-01	13.2
1984-04-01	9.5
1984-05-01	0.2
1985-01-01	8
1985-02-01	9.8
1985-03-01	9.4
1985-04-01	12.2
1986-02-01	11.6
1986-03-01	25.9
1986-04-01	20.2
1987-02-01	3.2
1987-03-01	8.7
1987-04-01	8.7
1987-05-01	0.1
1988-02-01	11.1
1988-03-01	12
1988-04-01	6.1
1988-05-01	0.1
1989-02-01	8.7
1989-03-01	9.1
1989-04-01	7.5
1989-05-01	0
1990-01-01	
1990-02-01	6.5
1990-03-01	9.4
1990-04-01	5.3
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	2.5
1991-03-01	1.2
1991-04-01	12.7
1991-05-01	1.1
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	3.9
1992-03-01	9.9
1992-04-01	9.1
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	23
1993-03-01	27.7
1993-04-01	29.7
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	5.3
1994-03-01	11.2
1994-04-01	7.3
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	19.3
1995-03-01	17.6
1995-04-01	32.8
1995-05-01	22.9
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	10.5
1996-03-01	15.9
1996-04-01	15.4
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	20.2
1997-03-01	21.1
1997-04-01	15.2
1997-05-01	0
