Date	SWE_Inches
1930-02-01	15.7
1930-03-01	18.2
1930-04-01	26.6
1930-05-01	
1931-02-01	12.1
1931-03-01	18.2
1931-04-01	15.2
1931-05-01	
1932-02-01	19
1932-03-01	56.6
1932-04-01	55.3
1932-05-01	
1933-01-01	
1933-02-01	20.1
1933-03-01	22.4
1933-04-01	43.9
1933-06-01	
1934-02-01	14.4
1934-03-01	20.1
1934-04-01	12.1
1935-03-01	25.2
1935-04-01	31.8
1935-05-01	40.9
1936-02-01	15.7
1936-04-01	46.5
1936-05-01	38.3
1937-03-01	39.2
1937-04-01	42.7
1938-03-01	24.3
1938-04-01	39.7
1939-02-01	10.1
1939-03-01	14.9
1939-04-01	19.4
1940-02-01	20.9
1940-03-01	34.2
1940-04-01	40.6
1941-04-01	53.6
1942-04-01	36.8
1943-04-01	40.2
1944-04-01	36
1945-04-01	38.5
1946-04-01	35.4
1947-04-01	24.6
1948-04-01	20.8
1949-04-01	30.1
1950-04-01	42
1951-04-01	18.6
1952-04-01	61.3
1953-04-01	24.8
1954-04-01	34.4
1955-04-01	24.5
1956-04-01	48
1957-02-01	12.5
1957-04-01	26.9
1958-02-01	15.7
1958-04-01	41.7
1959-02-01	10.3
1959-04-01	22.6
1960-02-01	10
1960-04-01	30.5
1961-02-01	12
1961-04-01	19.3
1962-02-01	12.8
1962-04-01	42.3
1963-03-01	12
1963-04-01	15.5
1964-02-01	12.8
1964-04-01	17.8
1965-02-01	26.1
1965-04-01	35
1966-02-01	27.1
1966-04-01	28.3
1967-02-01	28.7
1967-04-01	42.9
1967-05-01	53
1967-06-01	
1968-02-01	13.3
1968-04-01	19.7
1969-02-01	32.7
1969-05-01	65.8
1969-06-01	
1970-02-01	
1970-04-01	
1971-02-01	26.1
1971-04-01	29.1
1972-02-01	23.1
1972-04-01	19.6
1973-02-01	24
1973-04-01	42.7
1974-02-01	24.9
1974-04-01	39.9
1975-02-01	14
1975-04-01	37.2
1975-06-01	
1976-02-01	2.8
1976-04-01	11.2
1976-05-01	2.6
1977-02-01	3.8
1977-04-01	9.2
1977-05-01	0
1978-02-01	36.1
1978-04-01	56
1978-05-01	0
1979-02-01	
1979-04-01	36.6
1979-05-01	0
1980-02-01	28.5
1980-04-01	46.9
1981-02-01	13.2
1981-04-01	
1982-02-01	30.6
1982-04-01	47.5
1983-02-01	40.2
1983-04-01	77.9
1984-01-01	0
1984-02-01	29.6
1984-04-01	33.9
1985-02-01	16.7
1985-04-01	32.1
1986-02-01	16.8
1986-04-01	61
1987-02-01	4.8
1987-04-01	17.5
1988-02-01	18.4
1988-04-01	12.1
1988-05-01	1.9
1989-02-01	16.6
1989-03-01	20.8
1989-04-01	27.9
1989-05-01	14.3
1990-01-01	
1990-02-01	9.8
1990-03-01	16.7
1990-04-01	16.3
1990-05-01	2.7
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	4.9
1991-03-01	6.4
1991-04-01	24.8
1991-05-01	21
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	8.4
1992-03-01	17.6
1992-04-01	16.8
1992-05-01	2
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	38.1
1993-03-01	51.9
1993-04-01	54.4
1993-05-01	50
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	8.4
1994-03-01	
1994-04-01	17
1994-05-01	6.6
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	38.5
1995-03-01	39.8
1995-04-01	62.5
1995-05-01	70
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	19.9
1996-03-01	33.7
1996-04-01	37.3
1996-05-01	35
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	49
1997-03-01	48
1997-04-01	43.1
1997-05-01	31.3
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	21.9
1998-03-01	48.7
1998-04-01	51.8
1998-05-01	55.7
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	19.9
1999-03-01	33.8
1999-04-01	34.2
1999-05-01	32.6
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	47.8
2000-04-01	36.9
2000-05-01	21
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	13
2001-03-01	20
2001-04-01	18
2001-05-01	21
2001-06-01	
2002-01-01	
2002-02-01	23.1
2002-03-01	27
2002-04-01	29.7
2002-05-01	19.4
2002-06-01	
2003-01-01	
2003-02-01	19.4
2003-03-01	23.5
2003-04-01	24.7
2003-05-01	27.9
2003-06-01	
2004-01-01	
2004-02-01	22
2004-03-01	32.9
2004-04-01	26.5
2004-05-01	11.9
2004-06-01	
2005-01-01	
2005-02-01	33.8
2005-03-01	38.6
2005-04-01	47.3
2005-05-01	43.5
2005-06-01	
2006-01-01	
2006-02-01	31
2006-03-01	34.5
2006-04-01	44.3
2006-05-01	52.6
2006-06-01	
2007-01-01	
2007-02-01	7.9
2007-03-01	19.6
2007-04-01	16.1
2007-05-01	10.2
2007-06-01	
2008-01-01	
2008-02-01	21.6
2008-03-01	32.2
2008-04-01	30.7
2008-05-01	22.3
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
