Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1979-12-01	1979	12		_		_
1979-12-02	1979	12		_		_
1979-12-03	1979	12		_		_
1979-12-04	1979	12		_		_
1979-12-05	1979	12		_		_
1979-12-06	1979	12		_		_
1979-12-07	1979	12		_		_
1979-12-08	1979	12		_		_
1979-12-09	1979	12		_		_
1979-12-10	1979	12		_		_
1979-12-11	1979	12		_		_
1979-12-12	1979	12		_		_
1979-12-13	1979	12		_		_
1979-12-14	1979	12		_		_
1979-12-15	1979	12		_		_
1979-12-16	1979	12		_		_
1979-12-17	1979	12		_		_
1979-12-18	1979	12		_		_
1979-12-19	1979	12		_		_
1979-12-20	1979	12	3.8	_		_
1979-12-21	1979	12	3.8	_		_
1979-12-22	1979	12	4	_		_
1979-12-23	1979	12	4.1	_		_
1979-12-24	1979	12	5.5	_		_
1979-12-25	1979	12	7.3	_		_
1979-12-26	1979	12	7.8	_		_
1979-12-27	1979	12	7.9	_		_
1979-12-28	1979	12	8.22142857142857	_		_
1979-12-29	1979	12	8.54285714285714	_		_
1979-12-30	1979	12	8.86428571428571	_		_
1979-12-31	1979	12	9.18571428571429	_		_
1980-01-01	1980	1	9.50714285714286	_		_
1980-01-02	1980	1	9.82857142857143	_		_
1980-01-03	1980	1	10.15	_		_
1980-01-04	1980	1	10.4714285714286	_		_
1980-01-05	1980	1	10.7928571428571	_		_
1980-01-06	1980	1	11.1142857142857	_		_
1980-01-07	1980	1	11.4357142857143	_		_
1980-01-08	1980	1	11.7571428571429	_		_
1980-01-09	1980	1	12.0785714285714	_		_
1980-01-10	1980	1	12.4	_		_
1980-01-11	1980	1	14.5	_		_
1980-01-12	1980	1	16.9	_		_
1980-01-13	1980	1	19	_		_
1980-01-14	1980	1	20.4	_		_
1980-01-15	1980	1	20.9	_		_
1980-01-16	1980	1	21.4	_		_
1980-01-17	1980	1	21.5	_		_
1980-01-18	1980	1	22	_		_
1980-01-19	1980	1	22.3	_		_
1980-01-20	1980	1	22.6	_		_
1980-01-21	1980	1	22.8	_		_
1980-01-22	1980	1	23.2	_		_
1980-01-23	1980	1	23.4	_		_
1980-01-24	1980	1	23.4	_		_
1980-01-25	1980	1	23.2	_		_
1980-01-26	1980	1	23	_		_
1980-01-27	1980	1	22.8	_		_
1980-01-28	1980	1	22.6	_		_
1980-01-29	1980	1	22.4	_		_
1980-01-30	1980	1	22.1	_		_
1980-01-31	1980	1	21.9	_		_
1980-02-01	1980	2	21.7	_		_
1980-02-02	1980	2	21.5	_		_
1980-02-03	1980	2	21.3	_		_
1980-02-04	1980	2	21.1	_		_
1980-02-05	1980	2	21.1	_		_
1980-02-06	1980	2	21.1	_		_
1980-02-07	1980	2	21.1	_		_
1980-02-08	1980	2	21.1	_		_
1980-02-09	1980	2	21.1	_		_
1980-02-10	1980	2	21.1	_		_
1980-02-11	1980	2	21.1	_		_
1980-02-12	1980	2	21.1	_		_
1980-02-13	1980	2	21.1	_		_
1980-02-14	1980	2	21.1	_		_
1980-02-15	1980	2	21.1	_		_
1980-02-16	1980	2	21.1	_		_
1980-02-17	1980	2	22.8	_		_
1980-02-18	1980	2	25.6	_		_
1980-02-19	1980	2	26.1	_		_
1980-02-20	1980	2	26.6	_		_
1980-02-21	1980	2	27.1	_		_
1980-02-22	1980	2	27.6	_		_
1980-02-23	1980	2	28.1	_		_
1980-02-24	1980	2	28.7	_		_
1980-02-25	1980	2	29.2	_		_
1980-02-26	1980	2	29.7	_		_
1980-02-27	1980	2	30.2	_		_
1980-02-28	1980	2	30.7	_		_
1980-02-29	1980	2	31.2	_		_
1980-03-01	1980	3	31.7	_		_
1980-03-02	1980	3	31.9	_		_
1980-03-03	1980	3	32.3	_		_
1980-03-04	1980	3	33	_		_
1980-03-05	1980	3	34	_		_
1980-03-06	1980	3	35	_		_
1980-03-07	1980	3	35.6	_		_
1980-03-08	1980	3	35.8	_		_
1980-03-09	1980	3	36	_		_
1980-03-10	1980	3	36.2	_		_
1980-03-11	1980	3	36.4	_		_
1980-03-12	1980	3	36.6	_		_
1980-03-13	1980	3	36.8	_		_
1980-03-14	1980	3	37	_		_
1980-03-15	1980	3	37	_		_
1980-03-16	1980	3	37.1	_		_
1980-03-17	1980	3	37.1	_		_
1980-03-18	1980	3	37.4	_		_
1980-03-19	1980	3	37.7	_		_
1980-03-20	1980	3	37.7	_		_
1980-03-21	1980	3	37.7	_		_
1980-03-22	1980	3	37.8	_		_
1980-03-23	1980	3	37.9	_		_
1980-03-24	1980	3	37.7	_		_
1980-03-25	1980	3	37.6	_		_
1980-03-26	1980	3	37.8	_		_
1980-03-27	1980	3	37.8	_		_
1980-03-28	1980	3	37.9	_		_
1980-03-29	1980	3	37.9	_		_
1980-03-30	1980	3	37.9	_		_
1980-03-31	1980	3	37.6	_		_
1980-04-01	1980	4	37.8	_		_
1980-04-02	1980	4	37.8	_		_
1980-04-03	1980	4	37.8	_		_
1980-04-04	1980	4	37.8	_		_
1980-04-05	1980	4	37.8	_		_
1980-04-06	1980	4	37.8	_		_
1980-04-07	1980	4	37.9	_		_
1980-04-08	1980	4	37.9	_		_
1980-04-09	1980	4	37.9	_		_
1980-04-10	1980	4	37.9	_		_
1980-04-11	1980	4	37.9	_		_
1980-04-12	1980	4	38	_		_
1980-04-13	1980	4	37.7	_		_
1980-04-14	1980	4	37.1	_		_
1980-04-15	1980	4	36.4	_		_
1980-04-16	1980	4	35.6	_		_
1980-04-17	1980	4	35	_		_
1980-04-18	1980	4	34	_		_
1980-04-19	1980	4	33	_		_
1980-04-20	1980	4	32	_		_
1980-04-21	1980	4	31.4	_		_
1980-04-22	1980	4	31.2	_		_
1980-04-23	1980	4	31.1	_		_
1980-04-24	1980	4	30.4	_		_
1980-04-25	1980	4	29.8	_		_
1980-04-26	1980	4	29.2	_		_
1980-04-27	1980	4	28.5	_		_
1980-04-28	1980	4	27.8	_		_
1980-04-29	1980	4	27.2	_		_
1980-04-30	1980	4	26.6	_		_
1980-05-01	1980	5	25.9	_		_
1980-05-02	1980	5	24.7	_		_
1980-05-03	1980	5	23.4	_		_
1980-05-04	1980	5	22.3	_		_
1980-05-05	1980	5	21.2	_		_
1980-05-06	1980	5	20.4	_		_
1980-05-07	1980	5	19	_		_
1980-05-08	1980	5	17.5	_		_
1980-05-09	1980	5	16.2	_		_
1980-05-10	1980	5	16.1	_		_
1980-05-11	1980	5	16	_		_
1980-05-12	1980	5	16.1	_		_
1980-05-13	1980	5	16.1	_		_
1980-05-14	1980	5	16.1	_		_
1980-05-15	1980	5	16.1	_		_
1980-05-16	1980	5	16.1	_		_
1980-05-17	1980	5	15.1	_		_
1980-05-18	1980	5	13.6	_		_
1980-05-19	1980	5	11.4	_		_
1980-05-20	1980	5	9.1	_		_
1980-05-21	1980	5	6.7	_		_
1980-05-22	1980	5	4.7	_		_
1980-05-23	1980	5	1.1	_		_
1980-05-24	1980	5	0.8	_		_
1980-05-25	1980	5	0.7	_		_
1980-05-26	1980	5	0.7	_		_
1980-05-27	1980	5	0.1	_		_
1980-05-28	1980	5	0.1	_		_
1980-05-29	1980	5	0	_		_
1980-05-30	1980	5	0	_		_
1980-05-31	1980	5	0	_		_
1980-06-01	1980	6	0	_		_
1980-06-02	1980	6	0	_		_
1980-06-03	1980	6	0	_		_
1980-06-04	1980	6	0	_		_
1980-06-05	1980	6	0	_		_
1980-06-06	1980	6	0	_		_
1980-06-07	1980	6	0	_		_
1980-06-08	1980	6	0	_		_
1980-06-09	1980	6	0	_		_
1980-06-10	1980	6	0	_		_
1980-06-11	1980	6	0	_		_
1980-06-12	1980	6	0	_		_
1980-06-13	1980	6	0	_		_
1980-06-14	1980	6	0	_		_
1980-06-15	1980	6	0	_		_
1980-06-16	1980	6	0	_		_
1980-06-17	1980	6	0	_		_
1980-06-18	1980	6	0	_		_
1980-06-19	1980	6	0	_		_
1980-06-20	1980	6	0	_		_
