Date	SWE_Inches
1930-02-01	12.8
1930-03-01	15.3
1930-04-01	14
1930-05-01	
1931-02-01	7.3
1931-03-01	8.6
1931-04-01	7.4
1931-05-01	
1932-01-01	
1932-02-01	24.4
1932-03-01	30.6
1932-04-01	35.9
1932-05-01	
1933-02-01	16.3
1933-03-01	18.1
1933-04-01	21.5
1933-06-01	
1934-02-01	9.2
1934-03-01	13.8
1934-04-01	1
1935-03-01	19.3
1935-04-01	22.6
1935-05-01	26.1
1936-02-01	12
1936-03-01	29.5
1936-04-01	29.5
1936-05-01	22.2
1937-03-01	31
1937-04-01	34
1938-04-01	45.3
1939-04-01	10.2
1940-04-01	27.7
1941-04-01	32.5
1942-04-01	24.1
1943-04-01	41.9
1944-04-01	19.1
1945-04-01	27.9
1946-04-01	24.5
1947-04-01	17.4
1948-04-01	11.6
1949-04-01	17.3
1950-04-01	26.1
1951-04-01	13.9
1952-04-01	43.2
1953-04-01	16.7
1954-04-01	19.4
1955-04-01	15.3
1956-02-01	35.8
1956-04-01	32.8
1957-02-01	6
1957-04-01	15
1958-02-01	9.2
1958-04-01	26.1
1959-02-01	7.1
1959-04-01	13.9
1960-02-01	6.6
1960-04-01	17.7
1961-02-01	7.4
1961-04-01	12.7
1962-02-01	9.4
1962-04-01	29
1963-03-01	10.5
1963-04-01	10.9
1964-02-01	8.7
1964-04-01	11.4
1965-02-01	20.9
1965-04-01	23.6
1966-02-01	19
1966-04-01	21
1967-02-01	23.6
1967-04-01	30
1967-05-01	0
1967-06-01	0
1968-02-01	11
1968-04-01	13.3
1969-02-01	36.9
1969-04-01	50.6
1969-05-01	45.6
1969-06-01	
1970-02-01	
1970-04-01	
1971-02-01	17
1971-04-01	21.4
1972-02-01	16.8
1972-04-01	11.6
1973-02-01	17.3
1973-04-01	29
1973-05-01	20.2
1974-02-01	17.4
1974-04-01	23.9
1975-02-01	7.9
1975-03-01	14.9
1975-04-01	24.3
1975-05-01	29
1975-06-01	
1976-02-01	0
1976-03-01	3.2
1976-04-01	4.8
1976-05-01	0
1977-02-01	2.6
1977-03-01	4.4
1977-04-01	4.7
1978-02-01	23.6
1978-03-01	34.2
1978-04-01	38.8
1978-05-01	39.6
1979-02-01	
1979-03-01	22
1979-04-01	24.4
1979-05-01	19.3
1980-02-01	18.3
1980-03-01	30
1980-04-01	34.7
1980-05-01	29.7
1981-02-01	9.7
1981-03-01	
1981-04-01	
1982-02-01	23.5
1982-03-01	27.1
1982-04-01	
1982-05-01	34.8
1982-06-01	
1983-02-01	31.2
1983-03-01	
1983-04-01	
1983-05-01	53
1983-06-01	
1984-02-01	21
1984-03-01	25.6
1984-04-01	23.6
1984-05-01	16.9
1985-02-01	13
1985-03-01	15
1985-04-01	19.5
1985-05-01	10.2
1986-02-01	13.9
1986-03-01	36.7
1986-04-01	37.1
1986-05-01	27.8
1987-02-01	3.8
1987-03-01	8.8
1987-04-01	11
1987-05-01	0.6
1988-02-01	12.2
1988-03-01	12.6
1988-04-01	7.7
1988-05-01	0
1989-02-01	
1989-03-01	
1989-04-01	
1989-05-01	
1990-01-01	
1990-02-01	7.1
1990-03-01	11.8
1990-04-01	12.2
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	2.2
1991-03-01	1.6
1991-04-01	14.9
1991-05-01	10.3
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	5.2
1992-03-01	10
1992-04-01	11.9
1992-05-01	0
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	22.6
1993-03-01	33.9
1993-04-01	39.3
1993-05-01	32.2
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	4.8
1994-03-01	11.8
1994-04-01	10.9
1994-05-01	0
1994-06-01	
1994-07-01	
