Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1989-12-01	1989	12	2.61	_		_
1989-12-02	1989	12	2.56	_		_
1989-12-03	1989	12	2.5	_		_
1989-12-04	1989	12	2.45	_		_
1989-12-05	1989	12	2.39	_		_
1989-12-06	1989	12	2.34	_		_
1989-12-07	1989	12	2.29	_		_
1989-12-08	1989	12	2.23	_		_
1989-12-09	1989	12	2.18	_		_
1989-12-10	1989	12	2.12	_		_
1989-12-11	1989	12	2.07	_		_
1989-12-12	1989	12	2.01	_		_
1989-12-13	1989	12	1.96	_		_
1989-12-14	1989	12	1.92	_		_
1989-12-15	1989	12	1.89	_		_
1989-12-16	1989	12	1.85	_		_
1989-12-17	1989	12	1.81	_		_
1989-12-18	1989	12	1.78	_		_
1989-12-19	1989	12	1.74	_		_
1989-12-20	1989	12	1.7	_		_
1989-12-21	1989	12	1.67	_		_
1989-12-22	1989	12	1.63	_		_
1989-12-23	1989	12	1.59	_		_
1989-12-24	1989	12	1.56	_		_
1989-12-25	1989	12	1.52	_		_
1989-12-26	1989	12	1.48	_		_
1989-12-27	1989	12	1.45	_		_
1989-12-28	1989	12	1.41	_		_
1989-12-29	1989	12	1.37	_		_
1989-12-30	1989	12	1.34	_		_
1989-12-31	1989	12	1.3	_		_
1990-01-01	1990	1	1.3	_		_
1990-01-02	1990	1	1.96	_		_
1990-01-03	1990	1	1.96	_		_
1990-01-04	1990	1	1.96	_		_
1990-01-05	1990	1	1.96	_		_
1990-01-06	1990	1	1.3	_		_
1990-01-07	1990	1	1.3	_		_
1990-01-08	1990	1	1.3	_		_
1990-01-09	1990	1	1.3	_		_
1990-01-10	1990	1	1.3	_		_
1990-01-11	1990	1	1.3	_		_
1990-01-12	1990	1	1.96	_		_
1990-01-13	1990	1	2.61	_		_
1990-01-14	1990	1	5.88	_		_
1990-01-15	1990	1	5.88	_		_
1990-01-16	1990	1	5.88	_		_
1990-01-17	1990	1	6.53	_		_
1990-01-18	1990	1	6.53	_		_
1990-01-19	1990	1	6.53	_		_
