Date	SWE_Inches
1946-04-01	30.9
1947-04-01	25.4
1948-04-01	16.7
1948-05-01	24
1949-04-01	23.3
1950-04-01	29.7
1951-01-01	
1951-04-01	33.1
1951-05-01	33.1
1952-02-01	33.8
1952-04-01	46.4
1953-02-01	18.3
1953-04-01	19.6
1954-02-01	10.4
1954-04-01	31.5
1955-02-01	17.6
1955-04-01	22
1956-02-01	43.6
1956-04-01	46.7
1957-02-01	7.6
1957-03-01	15.4
1957-04-01	21.3
1958-02-01	15.1
1958-03-01	25.7
1958-04-01	39.1
1959-02-01	6.8
1959-03-01	17.8
1959-04-01	16.9
1960-02-01	6.3
1960-03-01	15.9
1960-04-01	19.8
1961-02-01	8.7
1961-03-01	9.9
1961-04-01	16.5
1962-03-01	30.6
1962-04-01	39.6
1963-03-01	20.1
1963-04-01	28
1964-02-01	11.8
1964-03-01	10.5
1964-04-01	14.8
1965-02-01	27.4
1965-03-01	28.5
1965-04-01	31.9
1966-02-01	17.4
1966-03-01	21.9
1966-04-01	21.7
1967-04-01	40.8
1967-05-01	50.2
1968-04-01	16.2
1969-04-01	63
1969-05-01	62.7
1969-06-01	
1970-04-01	24.8
1971-04-01	26.4
1972-04-01	16.4
1973-04-01	36.1
1974-04-01	34.1
1974-05-01	38
1975-02-01	11.2
1975-04-01	27.3
1975-05-01	31.5
1976-02-01	2.4
1976-03-01	8.6
1976-04-01	12.6
1976-05-01	10
1977-02-01	3.5
1977-04-01	6.8
1978-04-01	50
1979-03-01	0
1979-04-01	32.1
1979-05-01	0
1980-04-01	47
1981-04-01	24.4
1982-01-01	
1982-02-01	0
1982-04-01	
1983-01-01	22
1983-03-01	43
1983-04-01	58.2
1984-03-01	0
1984-04-01	31
1985-04-01	27.7
1986-04-01	46.8
1987-04-01	16.6
1988-04-01	18.7
1989-04-01	24.9
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	15
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	24
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	19.1
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	47.3
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	17.6
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	49.2
1995-03-01	
1995-04-01	53.5
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	31.8
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	36.1
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	49.6
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	30.1
1999-05-01	32
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	26.7
2000-05-01	26.9
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	16.3
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	21.2
2002-03-01	22.9
2002-04-01	28.1
2002-05-01	24.6
2002-06-01	
2003-01-01	
2003-02-01	18.4
2003-03-01	21.9
2003-04-01	24.3
2003-05-01	24.4
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	23.8
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	37.5
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	29.1
2006-03-01	
2006-04-01	39
2006-05-01	50.5
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	14.7
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	28.9
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
