Date	SWE_Inches
1947-02-01	12.8
1947-03-01	12.8
1947-04-01	12.3
1948-02-01	1.5
1948-03-01	6.7
1948-04-01	18.3
1948-05-01	22.1
1949-02-01	15.3
1949-03-01	24.1
1949-04-01	33.8
1949-05-01	14.4
1950-02-01	22.4
1950-03-01	25.9
1950-04-01	30.1
1950-05-01	20.2
1951-02-01	8.9
1951-03-01	13.3
1951-04-01	14.1
1951-05-01	2
1952-02-01	37.7
1952-03-01	45.8
1952-04-01	56.9
1953-02-01	24.2
1953-03-01	23.9
1953-04-01	25.9
1954-02-01	13
1954-03-01	20.6
1954-04-01	27.8
1954-05-01	7.1
1955-02-01	14.3
1955-03-01	17.7
1955-04-01	14.7
1955-05-01	7.1
1956-02-01	30.3
1956-03-01	32.4
1956-04-01	28.3
1956-05-01	12.6
1957-02-01	11.9
1957-03-01	15.2
1957-04-01	19
1957-05-01	7.9
1958-02-01	11.7
1958-03-01	22.9
1958-04-01	36.6
1958-05-01	37.1
1959-02-01	7.3
1959-03-01	17.8
1959-04-01	11
1959-05-01	0
1960-02-01	10
1960-03-01	17.3
1960-04-01	18.9
1960-05-01	3.3
1961-02-01	5.3
1961-03-01	7.6
1961-04-01	12.4
1961-05-01	1.9
1962-02-01	11.9
1962-03-01	28.1
1962-04-01	35.9
1962-05-01	14.8
1963-03-01	0
1963-04-01	7.2
1963-05-01	12.5
1964-02-01	13.9
1964-03-01	12.2
1964-04-01	13.7
1964-05-01	4
1965-02-01	25.9
1965-03-01	25.7
1965-04-01	25.9
1965-05-01	15.6
1966-02-01	15.4
1966-03-01	20.2
1966-04-01	12.5
1966-05-01	0
1967-02-01	20.1
1967-03-01	19.4
1967-04-01	27.7
1967-05-01	43.5
1967-06-01	
1968-02-01	14.5
1968-03-01	16
1968-04-01	17.6
1968-05-01	1.8
1969-03-01	50.2
1969-04-01	54.2
1969-05-01	43.9
1970-04-01	11.1
1970-05-01	4.8
1971-04-01	21.8
1971-05-01	10.7
1972-04-01	8.2
1972-05-01	3.4
1973-04-01	34.2
1973-05-01	21.7
1974-04-01	26.6
1974-05-01	22.9
1975-04-01	32.2
1975-05-01	35.2
1976-04-01	8.6
1976-05-01	4.6
1977-04-01	2.5
1977-05-01	0
1978-04-01	43.2
1978-05-01	42.6
1979-04-01	30.6
1979-05-01	23.3
1980-04-01	30.8
1980-05-01	25.5
1981-04-01	17.7
1981-05-01	9
1982-03-01	0
1982-04-01	30.6
1983-04-01	54.3
1983-05-01	63.9
1983-06-01	
1984-04-01	15.9
1984-05-01	0
1985-04-01	26.1
1985-05-01	10
1986-04-01	27.7
1986-05-01	6.9
1987-04-01	12.2
1987-05-01	0.6
1988-04-01	3.6
1988-05-01	0
1989-03-01	19.1
1989-04-01	22.1
1989-05-01	4.5
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	5.8
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	17.3
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	10.8
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	35.5
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	7
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	27.1
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	15
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	36
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	27.4
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	24.1
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
