Date	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
2007-11-01	0.2		1	
2007-11-02	0.3		2	
2007-11-03	0.3		1	
2007-11-04	0.4		1	
2007-11-05	0.5		1	
2007-11-06	0.4		1	
2007-11-07	0.3		1	
2007-11-08	0.3		1	
2007-11-09	0.3		1	
2007-11-10	0.4		0	
2007-11-11	0.6		1	
2007-11-12	0.1		1	
2007-11-13	0.4		0	
2007-11-14	0.3		1	
2007-11-15	0.3		1	
2007-11-16	0.4		3	
2007-11-17	0.4		0	
2007-11-18	0.4		1	
2007-11-19	0.4		1	
2007-11-20	0.4		1	
2007-11-21	0.4		1	
2007-11-22	0.4		1	
2007-11-23	0.3		2	
2007-11-24	0.2		1	
2007-11-25	0.3		1	
2007-11-26	0.3		1	
2007-11-27	0.3		1	
2007-11-28	0.3		1	
2007-11-29	0.3		1	
2007-11-30	0.4		1	
2007-12-01	0.4		1	
2007-12-02	0.3		219	
2007-12-03	0.2		1	
2007-12-04	0.3		0	
2007-12-05	0.6		0	
2007-12-06	0.5		10	
2007-12-07	2.4		16	
2007-12-08	2.6		16	
2007-12-09	2.5		15	
2007-12-10	2.5		14	
2007-12-11	2.5		13	
2007-12-12	2.5		12	
2007-12-13	2.6		12	
2007-12-14	2.6		11	
2007-12-15	2.5		11	
2007-12-16	2.6		11	
2007-12-17	2.6		11	
2007-12-18	2.9		34	
2007-12-19	4.5		33	
2007-12-20	5.2		36	
2007-12-21	5.7		33	
2007-12-22	5.6		32	
2007-12-23	5.5		31	
2007-12-24	5.6		29	
2007-12-25	5.6		29	
2007-12-26	5.6		28	
2007-12-27	5.7		27	
2007-12-28	5.8		28	
2007-12-29	5.9		29	
2007-12-30	5.9		28	
2007-12-31	5.9		27	
2008-01-01	5.9		26	
2008-01-02	5.9		26	
2008-01-03	5.9		26	
2008-01-04	6.3		52	
2008-01-05	11.2		59	
2008-01-06	13.4		64	
2008-01-07	13.5		61	
2008-01-08	13.5		61	
2008-01-09	14.4		61	
2008-01-10	14.5		59	
2008-01-11	14.8		56	
2008-01-12	14.7		55	
2008-01-13	14.7		54	
2008-01-14	14.7		53	
2008-01-15	14.7		52	
2008-01-16	14.7		52	
2008-01-17	14.7		51	
2008-01-18	14.6		51	
2008-01-19	14.6		50	
2008-01-20	14.6		50	
2008-01-21	14.6		50	
2008-01-22	14.6		52	
2008-01-23	14.9		57	
2008-01-24	15.7		66	
2008-01-25	16		65	
2008-01-26	16.3		219	
2008-01-27	17.2		80	
2008-01-28	20.3		88	
2008-01-29	20.6		84	
2008-01-30	21		82	
2008-01-31	21		84	
2008-02-01	22.2		85	
2008-02-02	22.2		88	
2008-02-03	23.9		97	
2008-02-04	24.8		95	
2008-02-05	24.8		93	
2008-02-06	24.8		89	
2008-02-07	24.8		87	
2008-02-08	24.8		85	
2008-02-09	24.8		83	
2008-02-10	24.8		81	
2008-02-11	24.7		80	
2008-02-12	24.6		78	
2008-02-13	24.5		77	
2008-02-14	24.5		220	
2008-02-15	24.5		76	
2008-02-16	24.5		74	
2008-02-17	24.4		74	
2008-02-18	24.4		72	
2008-02-19	24.3		72	
2008-02-20	24.6		75	
2008-02-21	24.7		79	
2008-02-22	25.2		90	
2008-02-23	26.4		94	
2008-02-24	28.9		108	
2008-02-25	30.5		107	
2008-02-26	30.6		102	
2008-02-27	30.5		99	
2008-02-28	30.5		96	
2008-02-29	30.5		93	
2008-03-01	30.4		90	
2008-03-02	30.4		89	
2008-03-03	30.3		87	
2008-03-04	30.2		86	
2008-03-05	30.1		85	
2008-03-06	29.9		84	
2008-03-07	29.8		83	
2008-03-08	29.7		82	
