Depth_mm	d18O	Years_B1950
1.3	-7.51	10651
1.5	-8.11	10666
1.8	-8.53	10681
2.0	-8.24	10696
2.3	-7.89	10710
2.5	-8.54	10725
2.8	-8.61	10740
3.0	-8.57	10755
3.3	-8.50	10770
3.5	-8.44	10785
3.8	-8.25	10799
4.0	-7.75	10814
4.3	-7.75	10829
4.5	-7.59	10844
4.8	-7.75	10859
5.0	-7.80	10873
5.3	-7.77	10888
5.5	-7.74	10903
5.8	-7.76	10918
6.0	-7.69	10933
6.3	-7.80	10948
6.5	-7.67	10962
6.8	-7.53	10977
7.0	-7.44	10992
7.3	-7.16	11007
7.5	-7.72	11022
7.8	-7.68	11036
8.0	-8.27	11051
8.3	-8.07	11066
8.5	-8.01	11081
8.8	-7.96	11096
9.0	-7.83	11111
9.3	-7.77	11125
9.5	-7.85	11140
9.8	-7.49	11155
10.0	-7.62	11170
10.3	-8.05	11185
10.5	-7.91	11199
10.8	-7.66	11214
11.0	-7.68	11229
11.3	-7.63	11244
11.5	-7.83	11259
11.8	-7.96	11274
12.0	-7.86	11288
12.2	-7.89	11298
12.3	-7.82	11308
12.5	-7.93	11318
12.7	-7.72	11328
12.8	-7.73	11338
13.0	-7.62	11348
13.2	-7.79	11358
13.3	-7.56	11367
13.5	-7.53	11377
13.7	-7.57	11387
13.8	-7.82	11397
14.0	-7.84	11407
14.2	-7.95	11417
14.3	-7.98	11422
14.5	-8.42	11429
14.7	-8.28	11435
14.8	-8.15	11442
15.0	-7.79	11449
15.2	-7.94	11456
15.3	-7.63	11462
15.5	-7.95	11469
15.7	-8.04	11476
15.8	-7.69	11483
16.0	-7.07	11489
16.2	-7.19	11496
16.3	-6.99	11503
16.5	-7.04	11510
16.7	-7.34	11516
16.8	-7.31	11523
17.0	-7.42	11530
17.2	-7.12	11537
17.3	-6.88	11543
17.5	-6.38	11550
17.7	-7.50	11557
17.8	-7.14	11564
18.0	-7.06	11570
18.2	-7.21	11577
18.3	-7.22	11584
18.5	-6.88	11591
18.7	-6.84	11597
18.8	-6.67	11604
19.0	-6.70	11611
19.2	-6.51	11618
19.3	-6.98	11624
19.5	-6.95	11631
19.7	-6.89	11638
19.8	-7.09	11645
20.0	-7.22	11651
20.2	-7.33	11658
20.3	-6.90	11665
20.5	-6.93	11672
20.7	-6.82	11678
20.8	-6.88	11685
21.0	-6.98	11692
21.2	-7.03	11699
21.3	-6.77	11705
21.5	-6.73	11712
21.7	-6.76	11719
21.8	-6.73	11726
22.0	-6.67	11732
22.2	-6.65	11739
22.3	-6.64	11746
22.5	-6.57	11753
22.7	-6.78	11759
22.8	-6.87	11766
23.0	-6.97	11773
23.2	-6.91	11780
23.3	-7.23	11786
23.5	-7.29	11793
23.7	-6.98	11800
23.8	-6.70	11807
24.0	-6.71	11813
24.2	-6.56	11820
24.3	-6.55	11827
24.5	-6.64	11833
24.7	-6.60	11840
24.8	-6.43	11847
25.0	-6.30	11854
25.2	-6.29	11860
25.3	-6.43	11867
25.5	-6.58	11874
