Station_ID	Year	January	February	March	April	May
DAN	1982		-0.625	3.296774194		
DAN	1983		7.717857143			
DAN	1984		5.24137931	1.525806452	1.46	-12.6516129
DAN	1985		2.832142857	4.222580645	-4.346666667	-15.98709677
DAN	1986		11.525	4.319354839	-4.025	-22.62967742
DAN	1987		5.757142857	4.785483871	-3.131	-5.794193548
DAN	1988					
DAN	1989		2.921428571	6.85483871	-1.963333333	-10.89677419
DAN	1990		7.478571429	0.816129032	-4.513333333	-9.829032258
DAN	1991	2.922580645	1.05	11.15483871	-0.871666667	-4.125806452
DAN	1992		4.236206897	1.388709677	-2.526666667	-11.11935484
DAN	1993		-0.180714286	-3.138064516	-5.0035	-16.04129032
DAN	1994		3.120714286	0.906612903	-3.980333333	-9.310322581
DAN	1995		-2.289285714	6.086543779		
DAN	1996		6.237586207	0.941935484	-4.818	-20.40580645
DAN	1997		-8.3	-4.948387097	-5.986	-20.88322581
DAN	1998		7.712857143	-5.904516129	-6.509	-13.40387097
DAN	1999		10.10071429	-2.1	-4.305666667	-14.71548387
DAN	2000		7.107931034	0.867741935	-6.54	-12.28741935
DAN	2001		2.637142857	-0.369032258	-6.015666667	-19.10129032
DAN	2002		-1.981785714	-2.393225806	-5.904	-15.89193548
DAN	2003		-3.413571429	-3.226451613	-0.496	-5.882580645
DAN	2004		-4.3		-7.063333333	-14.6483871
DAN	2005		-7.028571429	-11.4	-12.16	-18.73225806
DAN	2006		-3.171428571	-2.574193548	-8.566666667	-27.41290323
TUM	1980		5.920689655	6.383870968	-0.423333333	-17.8516129
TUM	1981		0.539285714			
TUM	1982		4.828571429	4.270967742		-21.5
TUM	1983		3.660714286			-4.222580645
TUM	1984		2.589655172	-0.012903226	-5.56	-14.51612903
TUM	1985		1.260714286	1.8	-8.316666667	-9.938709677
TUM	1986		8.885714286	-1.323225806	-6.531	-22.36451613
TUM	1987		2.053571429	1.032258065	-4.595555556	-0.6
TUM	1988		1.334482759	-0.482580645		0
TUM	1989					
TUM	1990		0.658571429	-1.117419355	-8.825333333	0
TUM	1991		-2.2	6.349032258	-2.858666667	-8.712903226
TUM	1992		1.697931034	0.041290323	-7.396	0
TUM	1993		1.848928571	-2.482580645	-10.55066667	-23.02870968
TUM	1994		2.152142857	-1.447741935	-5.781	0
TUM	1995		-8.885714286	1.019354839	-12.284	-22.06967742
TUM	1996		1.195862069	-1.541290323	-10.112	-22.97677419
TUM	1997		-2.307142857	-7.477419355	-11.87666667	-17.41935484
