Core_Section	Interval_cm	ODPdepth_m	ODPage_ka	BehlDepth_m	BehlAge_ka	HendyDepth_m	HendyAge_yrs	pach.d18O	pach.d13C	bull.d18O	bull.d13C
893A 01H 1	55	0.56	0.28	0.56	0.28	0.56	303	0.267		-0.175	
893A 01H 1	105	1.06	0.556	1.06	0.561	1.06	430	0.338		-0.095	
893A 01H 2	5	1.55	0.828	1.55	0.834	1.55	794	0.471			
893A 01H 2	55	2.05	1.117	2.05	1.123	2.05	1090	0.642		-0.029	
893A 01H 2	105	2.55	1.41	2.55	1.422	2.55	1370	0.735		0.026	
893A 01H 3	5	3.06	1.713	3.06	1.719	3.06	1641	0.429		-0.003	
893A 01H 3	55	3.56	2.012	3.56	2.018	3.56	1901	0.535		-0.091	
893A 01H 4	5	4.56	2.625	4.56	2.631	4.56	2500	0.516		-0.118	
893A 01H 4	55	5.06	2.932	5.06	2.938	5.06	2810	0.404		-0.002	
893A 01H 4	105	5.56	3.24	5.56	3.246	5.56	3024	0.393			
893A 02H 1	55	7.08	4.168	7.08	4.186	7.83	4644	0.514		-0.148	
893A 02H 1	105	7.58	4.482	7.58	4.507	8.33	5057	0.646		-0.14	
893A 02H 2	5	8.1	4.803	8.1	4.835	8.85	5491	0.524		-0.207	
893A 02H 2	55	8.61	5.12	8.61	5.158	9.36	5917	0.391		0.03	
893A 02H 2	105	9.08	5.412	9.08	5.457	9.83	6303	0.516		-0.086	
893A 02H 3	5	9.57	5.718	9.57	5.763	10.32	6691	0.523		-0.116	
893A 02H 3	55	10	6.025	10	6.044	10.75	7032	0.301		-0.17	
893A 02H 3	105	10.46	6.345	10.46	6.332	11.21	7397	0.411		-0.014	
893A 02H 4	5	10.86	6.628	10.86	6.596	11.61	7714	0.493		-0.003	
893A 02H 4	55	11.32	6.911	11.32	6.886	12.07	8055	0.609		0.018	
893A 02H 4	105	11.75	7.183	11.75	7.17	12.5	8316	0.499		0.164	
893A 02H 5	5	12.27	7.506	12.27	7.506	13.02	8528	0.676		0.215	
893A 02H 5	55	12.72	7.785	12.72	7.792	13.47	8712	0.859		0.144	
893A 02H 6	5	13.57	8.325	13.57	8.351	14.32	9035	0.74		0.065	
893A 02H 6	55	14.02	8.618	14.02	8.645	14.77	9085	0.745		0.235	
893A 02H 6	105	14.51	8.939	14.51	8.965	15.26	9151	0.78		0.234	
893A 02H 7	5	15.01	9.266	15.01	9.292	15.76	9217	0.716		0.148	
893A 03H 1	12	16.12	10.022	16.11	10.009	18.36	10627	0.635	0.517	0.175	-1.245
893A 03H 1	19	16.19	10.068	16.18	10.055	18.43	10655	0.895	0.257	0.395	-1.221
893A 03H 1	23	16.23	10.094	16.22	10.081	18.47	10671	0.687	0.407	0.029	-0.875
893A 03H 1	30	16.3	10.141	16.29	10.127	18.54	10698	0.826	0.223	0.49	-1.104
893A 03H 1	36	16.36	10.18	16.35	10.167	18.6	10722			0.173	-1.115
893A 03H 1	43	16.43	10.226	16.41	10.213	18.66	10746	0.75	0.154	0.487	-1.016
893A 03H 1	51	16.48	10.259	16.46	10.246	18.71	10766	0.469	-0.39	0.067	-1.131
893A 03H 1	55	16.52	10.285	16.5	10.272	18.75	10781	0.707	0.354	0.359	-1.026
893A 03H 1	62	16.59	10.332	16.57	10.318	18.82	10809	0.766	0.35	0.275	-0.898
893A 03H 1	68	16.65	10.371	16.63	10.358	18.88	10834	0.772	0.293	0.263	-1.109
893A 03H 1	72	16.69	10.398	16.67	10.384	18.92	10852	0.795	0.434	-0.071	-1.187
893A 03H 1	80	16.77	10.45	16.75	10.43	19	10887			0.27	-1.489
893A 03H 1	93	16.9	10.536	16.88	10.516	19.13	10944	0.876	0.116	0.096	-1.366
893A 03H 1	104	17.01	10.609	16.99	10.589	19.24	10997	0.888	0.304	0.314	-0.934
893A 03H 1	112	17.09	10.661	17.07	10.642	19.32	11036	0.878	0.346	0.257	-0.606
893A 03H 1	117	17.14	10.694	17.11	10.675	19.36	11056	0.929	0.314	0.31	-0.881
893A 03H 1	121	17.18	10.721	17.15	10.701	19.4	11076	0.845	0.492	0.344	-0.771
893A 03H 1	128	17.25	10.767	17.22	10.747	19.47	11111	0.907	0.354	0.255	-0.315
893A 03H 1	133	17.3	10.801	17.27	10.78	19.52	11136	1.066	0.347	0.469	-0.7
893A 03H 1	143	17.4	10.867	17.37	10.847	19.62	11177	0.901	0.409	0.219	-0.565
893A 03H 2	4	17.51	10.939	17.48	10.913	19.73	11207	1.075	0.345	0.279	-1.204
893A 03H 2	18	17.65	11.032	17.62	11.005	19.87	11245	1.013	0.399	-0.055	-1.062
893A 03H 2	25	17.72	11.078	17.69	11.052	19.94	11271	1.008	0.325	0.01	-0.98
893A 03H 2	30	17.77	11.111	17.74	11.085	19.99	11296	1.282	0.247	0.576	-0.392
893A 03H 2	55	18.02	11.277	17.98	11.25	20.23	11418	1.55	0.138		
893A 03H 2	63	18.1	11.33	18.06	11.303	20.31	11458	1.45	0.369	-0.17	-1.273
