Sample_Name1	Latitude	Longitude	Elevation	Elevation_Flag	Sample_Thickness	Sample_Density	Shielding_Corr	Erosion_Rate	Sample_Collection_Year	End_of_Line1	Sample_Name2	Nuclide	Mineral	Nuclide_Conc	Nuclide_Uncert	Standardization	End_of_Line2
C2-Boulder2--1	37.7996277408736	-119.215524314439	3419.44601696236	std	4.12294719032011	2.77533743227491	0.986604063408978	2.96114724007247e-05	2012	;	C2-Boulder2--1	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--2	37.799638874355	-119.215524046602	3413.86356504745	std	5.2427230781748	2.8055066363668	0.991037401726794	0.000156692139650471	2012	;	C2-Boulder2--2	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--3	37.7996131654038	-119.215482308039	3416.63282943511	std	3.88335433057141	2.74552289882704	0.966198108218789	0.000115003973836115	2012	;	C2-Boulder2--3	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--4	37.7996220740368	-119.215479738529	3421.50321392708	std	3.00298988305984	2.77883626801998	0.980282293775535	0	2012	;	C2-Boulder2--4	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--5	37.7996399760359	-119.215480463645	3412.97193378377	std	5.27320950514486	2.81334948281026	1	0.000171319830885963	2012	;	C2-Boulder2--5	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--6	37.7996967084889	-119.215503543118	3415.49034129632	std	3.75901272667405	2.79282432380877	0.995908352049971	0.000175217938460136	2012	;	C2-Boulder2--6	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--7	37.7996631097183	-119.215502858234	3417.45732435826	std	4.8408282994601	2.77605356821331	0.977185843970154	0	2012	;	C2-Boulder2--7	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--8	37.7996365887301	-119.215518166419	3417.75038516173	std	4.59603048091089	2.75586626074512	0.985783458612531	6.51118298056585e-05	2012	;	C2-Boulder2--8	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--9	37.7996444918831	-119.215543921027	3414.73592630602	std	4.34742558612757	2.76461675147002	0.981686454426136	0.000250365962113855	2012	;	C2-Boulder2--9	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--10	37.7996964407871	-119.215454143596	3414.62534327228	std	4.93234788891425	2.77689368781694	0.992744768554025	7.78478053909032e-05	2012	;	C2-Boulder2--10	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--11	37.7996513628616	-119.21549959929	3420.21727506055	std	5.01633652346103	2.73041533016569	0.990995885532228	8.11528656673497e-05	2012	;	C2-Boulder2--11	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--12	37.7996518052295	-119.215501874799	3416.36010684425	std	3.44768558412714	2.77095471917571	1	0	2012	;	C2-Boulder2--12	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--13	37.7996678909006	-119.215538560112	3424.31019848036	std	5.28528746100547	2.79915152764603	0.981813148876973	0.000205789462904808	2012	;	C2-Boulder2--13	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--14	37.7996095587644	-119.215553742512	3416.27563681463	std	5.82015595039975	2.78949532742606	0.991778362683159	7.66432628998766e-05	2012	;	C2-Boulder2--14	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--15	37.7996317632313	-119.215528384711	3418.59779034283	std	3.72132848464515	2.82065319176572	0.99008071270329	0.000123467295073012	2012	;	C2-Boulder2--15	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--16	37.7996123350331	-119.215528153505	3418.8108137007	std	3.3771384723207	2.84894015616218	0.980958590953575	0	2012	;	C2-Boulder2--16	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--17	37.7996758918128	-119.215560253268	3418.41430726323	std	3.43836227709515	2.74857094179866	0.991945894781791	0.000245764726869407	2012	;	C2-Boulder2--17	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--18	37.799666805066	-119.21554190857	3412.48290565137	std	3.74303005127901	2.77449116766439	0.988594179299071	4.189426776297e-05	2012	;	C2-Boulder2--18	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--19	37.7996577067524	-119.215502514264	3423.01427798473	std	4.73101397823773	2.82293743138345	0.991647261279812	0	2012	;	C2-Boulder2--19	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--20	37.7996501396927	-119.215552746962	3412.65891614627	std	4.68808578708352	2.79416355228898	0.979944170909895	0	2012	;	C2-Boulder2--20	Be-10	quartz	546797	12831	07KNSTD	;
C2-Boulder2--21	37.7996950707666	-119.215487735435	3420.08707318675	std	4.81474670362367	2.76188881000182	1	5.42109074090257e-05	2012	;	C2-Boulder2--21	Be-10	quartz	546797	12831	07KNSTD	;
