Sample_Name1	Latitude	Longitude	Elevation	Elevation_Flag	Sample_Thickness	Sample_Density	Shielding_Corr	Erosion_Rate	Sample_Collection_Year	End_of_Line1	Sample_Name2	Nuclide	Mineral	Nuclide_Conc	Nuclide_Uncert	Standardization	End_of_Line2
LoLy-11-08--1	37.8004628793085	-119.263596097852	2736.80440513801	std	1.56456884676698	2.77774199051751	0.954263305074277	0.000168723816589725	2011	;	LoLy-11-08--1	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--2	37.8004606960413	-119.263483648656	2736.11242648987	std	2.13346394179821	2.75525009502442	0.951643526214951	0.000144662303464881	2011	;	LoLy-11-08--2	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--3	37.800489235697	-119.263523961825	2735.33575214723	std	2.525729978079	2.80111894258176	0.961938719150636	5.06747789016686e-05	2011	;	LoLy-11-08--3	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--4	37.8005131320763	-119.263470321433	2740.56216834185	std	2.16169591565342	2.78677734630996	0.97529604309007	0.000191922677418915	2011	;	LoLy-11-08--4	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--5	37.8004982478999	-119.26348983809	2734.43665669802	std	1.6815964811679	2.78925311600767	0.952668606667575	0	2011	;	LoLy-11-08--5	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--6	37.8004492731808	-119.263514072576	2737.90068063322	std	2.45334476313634	2.83554616807808	0.956279519523694	9.20372042857263e-05	2011	;	LoLy-11-08--6	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--7	37.8003967940986	-119.263518053467	2742.40788436946	std	2.99742056779945	2.74537630670676	0.945222598094631	0.000218694453653301	2011	;	LoLy-11-08--7	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--8	37.8004897222413	-119.263551892463	2743.15712076635	std	1.35164186686161	2.83885879584714	0.95845911044716	0.000363837035665234	2011	;	LoLy-11-08--8	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--9	37.8004869377712	-119.263514119374	2736.85957970493	std	2.80894770161059	2.82726944444827	0.959713242970357	0	2011	;	LoLy-11-08--9	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--10	37.8004851494507	-119.263433668196	2739.97484377552	std	2.2273728763296	2.73086022915403	0.949707258414007	0.000351112870825581	2011	;	LoLy-11-08--10	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--11	37.8004905829425	-119.263447059078	2738.41116245075	std	1.80268721077549	2.77355574503988	0.943915804157349	0.00012299702201398	2011	;	LoLy-11-08--11	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--12	37.8004961326987	-119.263453351754	2738.45837561612	std	2.9175387189284	2.84095218072198	0.95469195328589	3.28006435714415e-06	2011	;	LoLy-11-08--12	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--13	37.8004555541395	-119.263556813057	2737.06487384413	std	1.85409643440979	2.75353839141609	0.962956575253486	0	2011	;	LoLy-11-08--13	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--14	37.8004552943632	-119.263484471725	2737.63792848406	std	2.43264234109066	2.80270842373623	0.968742115113339	0.000159928667996281	2011	;	LoLy-11-08--14	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--15	37.8004822733722	-119.263475358712	2735.46511039784	std	2.07664540517957	2.81409595091521	0.963724326882483	3.55239594540226e-05	2011	;	LoLy-11-08--15	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--16	37.8004928445509	-119.263512570623	2737.79849238796	std	2.39923957673303	2.73169866770701	0.969272021992439	5.43587757141159e-05	2011	;	LoLy-11-08--16	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--17	37.8004608998849	-119.263510728014	2735.74412110551	std	1.82262778009735	2.80477214258345	0.961584120671578	0.0001001136310606	2011	;	LoLy-11-08--17	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--18	37.8004944826991	-119.263522592242	2736.8040009654	std	2.46757715659659	2.82540550604517	0.959454897901878	0.000193414002924617	2011	;	LoLy-11-08--18	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--19	37.8004189312976	-119.263503941488	2736.81981284263	std	2.31236752653404	2.78424765379794	0.963640176444782	2.24707943241404e-05	2011	;	LoLy-11-08--19	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--20	37.8005134502419	-119.263498338536	2742.46793023573	std	2.54658702055453	2.78599198016969	0.951364869314549	0.000239417545955379	2011	;	LoLy-11-08--20	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--21	37.8004857646599	-119.263522791841	2737.04298695858	std	2.24071665126573	2.84357544767389	0.944507048170947	0.000129017392964717	2011	;	LoLy-11-08--21	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--22	37.8004824219785	-119.263538212235	2737.12532914962	std	2.43387023833073	2.82414509084641	0.955044015119037	5.17672325633745e-05	2011	;	LoLy-11-08--22	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--23	37.8004669727147	-119.263471395131	2741.59936724693	std	2.51686777604148	2.7584842400395	0.945100996598282	0.000285769138845529	2011	;	LoLy-11-08--23	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--24	37.8004127960995	-119.263507117363	2736.40147103854	std	2.70478751179045	2.82352246101816	0.961166302212679	0.000105545084292574	2011	;	LoLy-11-08--24	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--25	37.8005090186062	-119.263470374443	2740.17240077553	std	2.41157729845204	2.7965606001023	0.953204007341961	0.000159212735806387	2011	;	LoLy-11-08--25	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--26	37.8004895232803	-119.263457183569	2735.90272665525	std	1.73949500241859	2.74388395114257	0.956098173545377	0.000174268679747986	2011	;	LoLy-11-08--26	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--27	37.8004865107394	-119.263517256618	2736.27936394042	std	1.76222652799229	2.76804146148091	0.951864796130777	8.44123419583206e-05	2011	;	LoLy-11-08--27	Be-10	quartz	365512	8913	07KNSTD	;
LoLy-11-08--28	37.8004442805275	-119.263508869623	2739.65218143881	std	1.82375664248389	2.80168094401627	0.970761819302558	0.000106680232214185	2011	;	LoLy-11-08--28	Be-10	quartz	365512	8913	07KNSTD	;
