Sample_Name1	Latitude	Longitude	Elevation	Elevation_Flag	Sample_Thickness	Sample_Density	Shielding_Corr	Erosion_Rate	Sample_Collection_Year	End_of_Line1	Sample_Name2	Nuclide	Mineral	Nuclide_Conc	Nuclide_Uncert	Standardization	End_of_Line2
TM14-18--1	37.8841175952386	-119.345259143524	2860.15467373251	std	2.01006163955359	2.78296681578963	0.994217914710544	0	2014	;	TM14-18--1	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--2	37.8841185555003	-119.34519623747	2860.15634542756	std	2.40522070520946	2.76837868236231	1	0	2014	;	TM14-18--2	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--3	37.8841205172843	-119.345182675166	2857.24250939458	std	1.89811258312848	2.79386349758024	0.976447995754368	0	2014	;	TM14-18--3	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--4	37.884125788727	-119.345197848531	2859.42164876737	std	2.28410633221371	2.75010849850121	1	0	2014	;	TM14-18--4	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--5	37.8841371257199	-119.345236434276	2858.51216198522	std	2.65042229279425	2.77897822506732	0.999022067650318	0	2014	;	TM14-18--5	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--6	37.8840943298805	-119.345148662037	2862.76592796674	std	1.75037308433073	2.81655262546072	1	0	2014	;	TM14-18--6	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--7	37.8841146906721	-119.345131871864	2859.52392324622	std	1.57808327896196	2.75614776515254	0.991555333375415	0	2014	;	TM14-18--7	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--8	37.8841191025214	-119.345241094891	2858.90785554535	std	2.23049680646417	2.74097279658479	0.999884274491626	0	2014	;	TM14-18--8	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--9	37.884112268119	-119.345230930619	2861.49139583872	std	1.46801398783427	2.74136082528074	0.996705130489626	0	2014	;	TM14-18--9	Be-10	quartz	426641	7083	07KNSTD	;
TM14-18--10	37.884080686208	-119.345170977748	2861.29657026114	std	2.27282371711191	2.76892166808262	1	0	2014	;	TM14-18--10	Be-10	quartz	426641	7083	07KNSTD	;
