Sample_Name1	Latitude	Longitude	Elevation	Elevation_Flag	Sample_Thickness	Sample_Density	Shielding_Corr	Erosion_Rate	Sample_Collection_Year	End_of_Line1	Sample_Name2	Nuclide	Mineral	Nuclide_Conc	Nuclide_Uncert	Standardization	End_of_Line2
UpLy-12-10--1	37.7990251357017	-119.21601868953	3400.57898222567	std	3.21579077633258	2.76435004309535	1	0	2012	;	UpLy-12-10--1	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--2	37.7990184819309	-119.215981485615	3398.2146579902	std	3.46917090990225	2.75226725276819	1	0	2012	;	UpLy-12-10--2	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--3	37.7990267186752	-119.216046044045	3403.47539631875	std	2.5205034580728	2.75582626487178	0.980385494667147	4.86524258740081e-05	2012	;	UpLy-12-10--3	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--4	37.7990166642376	-119.215981438627	3386.62525450671	std	2.7502742073638	2.8081753394294	0.980509560756431	4.7311100168005e-05	2012	;	UpLy-12-10--4	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--5	37.7990290448902	-119.216033056542	3394.00271750575	std	2.90484862644042	2.78917619320958	0.990533973628933	6.23709416817303e-05	2012	;	UpLy-12-10--5	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--6	37.7990098556748	-119.216039227232	3401.72867596711	std	2.23848539239842	2.8219891302558	0.990897744838623	0.000168296185989587	2012	;	UpLy-12-10--6	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--7	37.7990393993817	-119.216066212472	3401.39731856322	std	3.30990223128817	2.81163428727243	1	0.000160667957095211	2012	;	UpLy-12-10--7	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--8	37.7990146893045	-119.215993335869	3403.75453271949	std	3.13314176958429	2.79225400256941	0.997518904495238	0.000204675374808404	2012	;	UpLy-12-10--8	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--9	37.7989925915689	-119.216016119211	3394.69983088131	std	3.53953592213789	2.73873892214282	0.994822307693923	0.000107937194583413	2012	;	UpLy-12-10--9	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--10	37.7990135563942	-119.21597421237	3400.08022552756	std	3.07569362533791	2.79679297929755	0.987547967698224	0.000234198390559544	2012	;	UpLy-12-10--10	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--11	37.799024641841	-119.215973936903	3398.7941849875	std	3.15257809034854	2.78303402515964	0.988597516384889	0.00017453338690044	2012	;	UpLy-12-10--11	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--12	37.7990243460574	-119.21604509953	3397.67903739285	std	3.49729728632106	2.74158255265447	0.999370420125358	1.91225048258103e-05	2012	;	UpLy-12-10--12	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--13	37.799015880532	-119.216017206094	3393.92292099657	std	2.65439303363545	2.76870668255444	0.990459717821234	0.000198096366296588	2012	;	UpLy-12-10--13	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--14	37.7989756785489	-119.216082897486	3394.72870203538	std	2.361983040841	2.73778993164041	1	0	2012	;	UpLy-12-10--14	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--15	37.7990390092365	-119.216058534069	3396.49046405412	std	2.54346314582751	2.71271211688493	0.991852876326988	0.000188313050704566	2012	;	UpLy-12-10--15	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--16	37.7989942644559	-119.215999377956	3396.66011372466	std	3.11764952855115	2.77334059680296	0.999451411706496	8.22322570255358e-05	2012	;	UpLy-12-10--16	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--17	37.799017806196	-119.216061000567	3394.4363055347	std	2.94268661313233	2.81116611109501	0.990093622727385	0.000182440135674501	2012	;	UpLy-12-10--17	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--18	37.7989642345181	-119.216007119557	3397.4087852642	std	2.57601053591635	2.74500952974044	0.978622672793673	0	2012	;	UpLy-12-10--18	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--19	37.7990022635774	-119.215999053838	3398.47863183127	std	2.92080123078055	2.74214169375044	0.99646858980478	0.000181417655708333	2012	;	UpLy-12-10--19	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--20	37.799010523969	-119.21599507557	3396.85617810436	std	3.47213222770159	2.83035443412647	0.984946975436748	0	2012	;	UpLy-12-10--20	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--21	37.7990325011903	-119.215963582412	3394.1439045224	std	4.60136152100289	2.79180852591211	0.972152076012544	0.000169077573893945	2012	;	UpLy-12-10--21	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--22	37.7990340108661	-119.215989260151	3398.49656156647	std	2.79656174783372	2.83312426433423	0.986147329989158	0.000124361137677045	2012	;	UpLy-12-10--22	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--23	37.7990127794874	-119.216046320428	3397.57848533331	std	2.8600144581975	2.80213296186759	0.989900207195158	0.00017414022917491	2012	;	UpLy-12-10--23	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--24	37.7990258210217	-119.216059694209	3392.5135495902	std	2.43362802798934	2.80516204330604	1	0.000109714713924496	2012	;	UpLy-12-10--24	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--25	37.7989976948869	-119.216032033008	3394.0431524825	std	3.67053424737621	2.78665696992037	0.977674286271289	9.09309487177172e-06	2012	;	UpLy-12-10--25	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--26	37.7990540986147	-119.216084101752	3402.45961316216	std	3.63868740476768	2.77715479483694	0.987242800840024	0.000166382377900214	2012	;	UpLy-12-10--26	Be-10	quartz	518497	8112	07KNSTD	;
UpLy-12-10--27	37.7990576188267	-119.216040373641	3397.23896090477	std	2.79815370389502	2.79400638516656	0.991590961928276	4.60127082790086e-05	2012	;	UpLy-12-10--27	Be-10	quartz	518497	8112	07KNSTD	;
