Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
C2-Boulder1--1	Be-10 (qtz)	15030	206	1209	14766	202	1130	14390	197	875	--	--	--
													
C2-Boulder1--2	Be-10 (qtz)	14654	201	1179	14410	197	1102	14047	192	854	--	--	--
													
C2-Boulder1--3	Be-10 (qtz)	14859	205	1203	14601	201	1124	14226	196	870	--	--	--
													
C2-Boulder1--4	Be-10 (qtz)	15551	218	1279	15199	213	1188	14840	207	921	--	--	--
													
C2-Boulder1--5	Be-10 (qtz)	15052	209	1230	14782	206	1148	14403	200	888	--	--	--
													
C2-Boulder1--6	Be-10 (qtz)	14675	201	1181	14430	198	1104	14067	193	855	--	--	--
													
C2-Boulder1--7	Be-10 (qtz)	14782	203	1193	14529	200	1115	14163	195	863	--	--	--
													
C2-Boulder1--8	Be-10 (qtz)	14966	208	1222	14703	204	1141	14328	199	883	--	--	--
													
C2-Boulder1--9	Be-10 (qtz)	15203	210	1235	14907	206	1151	14543	201	892	--	--	--
													
C2-Boulder1--10	Be-10 (qtz)	15008	211	1239	14741	207	1157	14356	202	894	--	--	--
													
C2-Boulder1--11	Be-10 (qtz)	15855	229	1345	15472	223	1247	15057	217	962	--	--	--
													
C2-Boulder1--12	Be-10 (qtz)	14937	205	1202	14678	201	1123	14311	196	870	--	--	--
													
C2-Boulder1--13	Be-10 (qtz)	15046	211	1238	14775	207	1156	14392	201	894	--	--	--
													
C2-Boulder1--14	Be-10 (qtz)	15221	208	1225	14924	204	1142	14562	199	885	--	--	--
													
C2-Boulder1--15	Be-10 (qtz)	15681	223	1312	15314	218	1217	14928	212	942	--	--	--
													
C2-Boulder1--16	Be-10 (qtz)	15353	214	1258	15031	210	1171	14674	204	908	--	--	--
													
C2-Boulder1--17	Be-10 (qtz)	14611	201	1181	14370	198	1104	14011	193	855	--	--	--
													
C2-Boulder1--18	Be-10 (qtz)	14800	203	1195	14546	200	1117	14174	195	864	--	--	--
													
C2-Boulder1--19	Be-10 (qtz)	15295	212	1243	14984	207	1157	14626	202	897	--	--	--
													
C2-Boulder1--20	Be-10 (qtz)	14806	206	1213	14548	203	1133	14170	197	876	--	--	--
													
C2-Boulder1--21	Be-10 (qtz)	15121	212	1246	14837	208	1162	14456	203	899	--	--	--
													
C2-Boulder1--22	Be-10 (qtz)	15161	215	1265	14868	211	1179	14483	205	911	--	--	--
													
C2-Boulder1--23	Be-10 (qtz)	15320	217	1275	15000	212	1186	14630	207	918	--	--	--
													
C2-Boulder1--24	Be-10 (qtz)	15262	215	1261	14953	210	1174	14584	205	909	--	--	--
													
C2-Boulder1--25	Be-10 (qtz)	14879	206	1208	14620	202	1128	14246	197	873	--	--	--
													
C2-Boulder1--26	Be-10 (qtz)	14862	204	1196	14605	200	1117	14233	195	865	--	--	--
													
C2-Boulder1--27	Be-10 (qtz)	15140	215	1262	14851	210	1176	14466	205	909	--	--	--
													
C2-Boulder1--28	Be-10 (qtz)	14839	203	1194	14583	200	1116	14211	195	864	--	--	--
													
C2-Boulder1--29	Be-10 (qtz)	14703	202	1189	14455	199	1111	14090	194	860	--	--	--
													
C2-Boulder1--30	Be-10 (qtz)	14975	205	1205	14714	202	1126	14343	196	872	--	--	--
													
C2-Boulder1--31	Be-10 (qtz)	15340	215	1265	15019	211	1177	14661	205	912	--	--	--
													
C2-Boulder1--32	Be-10 (qtz)	15096	213	1249	14816	208	1165	14434	203	901	--	--	--
													
C2-Boulder1--33	Be-10 (qtz)	14825	205	1204	14569	201	1125	14197	196	871	--	--	--
													
C2-Boulder1--34	Be-10 (qtz)	15131	209	1229	14848	205	1146	14477	200	888	--	--	--
													
C2-Boulder1--35	Be-10 (qtz)	14950	206	1208	14690	202	1128	14314	197	873	--	--	--
													
C2-Boulder1--36	Be-10 (qtz)	14925	205	1206	14666	202	1127	14289	196	872	--	--	--
													
C2-Boulder1--37	Be-10 (qtz)	15234	214	1256	14930	209	1170	14555	204	905	--	--	--
													
C2-Boulder1--38	Be-10 (qtz)	15069	210	1232	14796	206	1150	14417	200	890	--	--	--
													
C2-Boulder1--39	Be-10 (qtz)	15009	209	1227	14744	205	1146	14362	200	886	--	--	--
													
C2-Boulder1--40	Be-10 (qtz)	15390	219	1286	15058	214	1195	14696	209	926	--	--	--
													
C2-Boulder1--41	Be-10 (qtz)	15044	206	1211	14778	202	1131	14404	197	875	--	--	--
													
C2-Boulder1--42	Be-10 (qtz)	15007	207	1216	14744	203	1136	14361	198	879	--	--	--
													
