Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-18--1	Be-10 (qtz)	14670	244	1189	14437	241	1113	14424	240	887	--	--	--
													
TM14-18--2	Be-10 (qtz)	14634	244	1186	14403	240	1110	14390	240	885	--	--	--
													
TM14-18--3	Be-10 (qtz)	14949	249	1211	14702	245	1133	14688	245	904	--	--	--
													
TM14-18--4	Be-10 (qtz)	14623	244	1185	14393	240	1110	14381	240	885	--	--	--
													
TM14-18--5	Be-10 (qtz)	14695	245	1191	14460	241	1115	14447	241	889	--	--	--
													
TM14-18--6	Be-10 (qtz)	14533	242	1177	14307	238	1103	14294	238	879	--	--	--
													
TM14-18--7	Be-10 (qtz)	14659	244	1188	14426	240	1112	14413	240	887	--	--	--
													
TM14-18--8	Be-10 (qtz)	14622	244	1185	14392	240	1109	14380	240	885	--	--	--
													
TM14-18--9	Be-10 (qtz)	14551	242	1179	14324	239	1104	14312	238	880	--	--	--
													
TM14-18--10	Be-10 (qtz)	14607	243	1183	14378	240	1108	14365	239	884	--	--	--
													
TM14-18--11	Be-10 (qtz)	14818	247	1201	14575	243	1124	14560	243	896	--	--	--
													
TM14-18--12	Be-10 (qtz)	14873	248	1205	14628	244	1128	14613	243	899	--	--	--
													
TM14-18--13	Be-10 (qtz)	14964	249	1212	14716	245	1135	14703	245	904	--	--	--
													
TM14-18--14	Be-10 (qtz)	14585	243	1182	14357	239	1107	14346	239	882	--	--	--
													
TM14-18--15	Be-10 (qtz)	14634	244	1186	14403	240	1110	14391	240	885	--	--	--
													
TM14-18--16	Be-10 (qtz)	14646	244	1187	14414	240	1111	14404	240	886	--	--	--
													
TM14-18--17	Be-10 (qtz)	14803	247	1199	14561	243	1123	14548	242	895	--	--	--
													
TM14-18--18	Be-10 (qtz)	14742	246	1194	14504	242	1118	14491	241	891	--	--	--
													
TM14-18--19	Be-10 (qtz)	14663	244	1188	14430	240	1112	14419	240	887	--	--	--
													
TM14-18--20	Be-10 (qtz)	14712	245	1192	14476	241	1116	14464	241	890	--	--	--
													
TM14-18--21	Be-10 (qtz)	14521	242	1177	14296	238	1102	14287	238	879	--	--	--
													
TM14-18--22	Be-10 (qtz)	14779	246	1197	14539	242	1121	14524	242	893	--	--	--
													
TM14-18--23	Be-10 (qtz)	14735	246	1194	14497	242	1118	14483	241	891	--	--	--
													
TM14-18--24	Be-10 (qtz)	14771	246	1197	14531	242	1120	14520	242	893	--	--	--
													
TM14-18--25	Be-10 (qtz)	14581	243	1181	14353	239	1106	14341	239	882	--	--	--
													
TM14-18--26	Be-10 (qtz)	14870	248	1205	14625	244	1128	14609	243	899	--	--	--
													
TM14-18--27	Be-10 (qtz)	14841	247	1202	14597	243	1125	14583	243	897	--	--	--
													
TM14-18--28	Be-10 (qtz)	14679	245	1189	14445	241	1114	14434	240	888	--	--	--
													
TM14-18--29	Be-10 (qtz)	14710	245	1192	14474	241	1116	14461	241	890	--	--	--
													
TM14-18--30	Be-10 (qtz)	14640	244	1186	14408	240	1111	14397	240	886	--	--	--
													
TM14-18--31	Be-10 (qtz)	14799	247	1199	14557	243	1122	14542	242	895	--	--	--
													
TM14-18--32	Be-10 (qtz)	14706	245	1192	14470	241	1116	14457	241	889	--	--	--
													
TM14-18--33	Be-10 (qtz)	14702	245	1191	14466	241	1115	14452	241	889	--	--	--
													
TM14-18--34	Be-10 (qtz)	14914	249	1208	14667	244	1131	14653	244	901	--	--	--
													
TM14-18--35	Be-10 (qtz)	14994	250	1215	14745	246	1137	14731	245	906	--	--	--
													
TM14-18--36	Be-10 (qtz)	14738	246	1194	14500	242	1118	14486	241	891	--	--	--
													
TM14-18--37	Be-10 (qtz)	14902	248	1207	14657	244	1130	14643	244	901	--	--	--
													
TM14-18--38	Be-10 (qtz)	14715	245	1192	14479	241	1116	14464	241	890	--	--	--
													
TM14-18--39	Be-10 (qtz)	14860	248	1204	14616	244	1127	14602	243	898	--	--	--
													
TM14-18--40	Be-10 (qtz)	14540	242	1178	14314	238	1103	14303	238	880	--	--	--
													
TM14-18--41	Be-10 (qtz)	14733	246	1194	14496	242	1118	14482	241	891	--	--	--
													
TM14-18--42	Be-10 (qtz)	14549	242	1179	14323	239	1104	14310	238	880	--	--	--
													
TM14-18--43	Be-10 (qtz)	14651	244	1187	14418	240	1112	14406	240	886	--	--	--
													
TM14-18--44	Be-10 (qtz)	14765	246	1196	14526	242	1120	14514	242	893	--	--	--
													
TM14-18--45	Be-10 (qtz)	14789	246	1198	14548	242	1122	14534	242	894	--	--	--
													
TM14-18--46	Be-10 (qtz)	14628	244	1185	14397	240	1110	14388	240	885	--	--	--
													
TM14-18--47	Be-10 (qtz)	14696	245	1191	14461	241	1115	14448	241	889	--	--	--
													
TM14-18--48	Be-10 (qtz)	14641	244	1186	14410	240	1111	14396	240	886	--	--	--
													
TM14-18--49	Be-10 (qtz)	14655	244	1187	14422	240	1112	14411	240	886	--	--	--
													
TM14-18--50	Be-10 (qtz)	14763	246	1196	14523	242	1120	14508	242	892	--	--	--
													
TM14-18--51	Be-10 (qtz)	14735	246	1194	14497	242	1118	14485	241	891	--	--	--
													
TM14-18--52	Be-10 (qtz)	14720	245	1193	14483	241	1117	14471	241	890	--	--	--
													
TM14-18--53	Be-10 (qtz)	14964	249	1213	14716	245	1135	14703	245	904	--	--	--
													
TM14-18--54	Be-10 (qtz)	14955	249	1212	14708	245	1134	14694	245	904	--	--	--
													
TM14-18--55	Be-10 (qtz)	14781	246	1198	14540	242	1121	14525	242	894	--	--	--
													
TM14-18--56	Be-10 (qtz)	14716	245	1192	14480	241	1116	14468	241	890	--	--	--
													
TM14-18--57	Be-10 (qtz)	14793	246	1199	14551	242	1122	14537	242	894	--	--	--
													
TM14-18--58	Be-10 (qtz)	14726	245	1193	14488	241	1117	14476	241	890	--	--	--
													
TM14-18--59	Be-10 (qtz)	14703	245	1191	14468	241	1115	14455	241	889	--	--	--
													
TM14-18--60	Be-10 (qtz)	14548	242	1179	14321	239	1104	14310	238	880	--	--	--
													
TM14-18--61	Be-10 (qtz)	14552	242	1179	14326	239	1104	14317	239	881	--	--	--
													
TM14-18--62	Be-10 (qtz)	14781	246	1198	14540	242	1121	14526	242	894	--	--	--
													
TM14-18--63	Be-10 (qtz)	14782	246	1198	14541	242	1121	14526	242	894	--	--	--
													
TM14-18--64	Be-10 (qtz)	14713	245	1192	14477	241	1116	14464	241	890	--	--	--
													
TM14-18--65	Be-10 (qtz)	14543	242	1178	14316	239	1104	14305	238	880	--	--	--
													
