Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
LoLy-11-08--1	Be-10 (qtz)	14264	353	1197	14055	348	1125	14133	350	915	--	--	--
													
LoLy-11-08--2	Be-10 (qtz)	14484	362	1229	14259	357	1153	14343	359	939	--	--	--
													
LoLy-11-08--3	Be-10 (qtz)	13808	338	1146	13596	333	1076	13664	334	875	--	--	--
													
LoLy-11-08--4	Be-10 (qtz)	14039	344	1165	13828	338	1094	13917	341	892	--	--	--
													
LoLy-11-08--5	Be-10 (qtz)	14345	358	1215	14128	353	1141	14209	355	929	--	--	--
													
LoLy-11-08--6	Be-10 (qtz)	13627	333	1130	13410	328	1061	13471	330	863	--	--	--
													
LoLy-11-08--7	Be-10 (qtz)	14093	346	1174	13887	341	1103	13976	343	899	--	--	--
													
LoLy-11-08--8	Be-10 (qtz)	13992	342	1161	13778	337	1090	13864	339	888	--	--	--
													
LoLy-11-08--9	Be-10 (qtz)	13701	336	1140	13487	331	1070	13554	333	871	--	--	--
													
LoLy-11-08--10	Be-10 (qtz)	14348	359	1216	14131	353	1142	14208	355	929	--	--	--
													
LoLy-11-08--11	Be-10 (qtz)	14167	351	1192	13964	346	1120	14046	348	912	--	--	--
													
LoLy-11-08--12	Be-10 (qtz)	13734	336	1140	13522	331	1070	13589	333	871	--	--	--
													
LoLy-11-08--13	Be-10 (qtz)	14560	369	1251	14330	363	1174	14411	365	956	--	--	--
													
LoLy-11-08--14	Be-10 (qtz)	14086	345	1169	13880	340	1099	13972	342	896	--	--	--
													
LoLy-11-08--15	Be-10 (qtz)	14332	355	1205	14118	350	1132	14198	352	921	--	--	--
													
LoLy-11-08--16	Be-10 (qtz)	14160	347	1175	13960	342	1105	14039	344	899	--	--	--
													
LoLy-11-08--17	Be-10 (qtz)	14131	348	1181	13928	343	1110	14014	345	904	--	--	--
													
LoLy-11-08--18	Be-10 (qtz)	13912	343	1162	13697	337	1091	13766	339	888	--	--	--
													
LoLy-11-08--19	Be-10 (qtz)	14363	357	1209	14145	351	1136	14221	353	924	--	--	--
													
LoLy-11-08--20	Be-10 (qtz)	14236	349	1183	14030	344	1112	14109	346	905	--	--	--
													
LoLy-11-08--21	Be-10 (qtz)	14403	357	1212	14184	352	1138	14265	354	926	--	--	--
													
LoLy-11-08--22	Be-10 (qtz)	14106	345	1170	13901	340	1100	13991	342	896	--	--	--
													
LoLy-11-08--23	Be-10 (qtz)	14978	382	1294	14725	375	1212	14800	377	987	--	--	--
													
LoLy-11-08--24	Be-10 (qtz)	14122	347	1176	13918	342	1106	14005	344	901	--	--	--
													
