Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
UpLy-12-10--1	Be-10 (qtz)	15098	237	1221	14823	233	1140	14465	227	886	--	--	--
													
UpLy-12-10--2	Be-10 (qtz)	14430	229	1180	14195	225	1104	13824	219	856	--	--	--
													
UpLy-12-10--3	Be-10 (qtz)	15362	247	1270	15038	241	1182	14686	236	919	--	--	--
													
UpLy-12-10--4	Be-10 (qtz)	14768	232	1194	14517	228	1116	14158	222	867	--	--	--
													
UpLy-12-10--5	Be-10 (qtz)	15311	248	1279	14993	243	1191	14634	237	925	--	--	--
													
UpLy-12-10--6	Be-10 (qtz)	14017	221	1138	13787	217	1065	13397	211	824	--	--	--
													
UpLy-12-10--7	Be-10 (qtz)	14409	226	1166	14177	223	1091	13803	217	846	--	--	--
													
UpLy-12-10--8	Be-10 (qtz)	14641	238	1227	14392	234	1147	14025	228	890	--	--	--
													
UpLy-12-10--9	Be-10 (qtz)	15269	245	1260	14960	240	1174	14599	234	912	--	--	--
													
UpLy-12-10--10	Be-10 (qtz)	14460	231	1188	14223	227	1112	13846	221	862	--	--	--
													
UpLy-12-10--11	Be-10 (qtz)	14209	223	1148	13992	220	1076	13603	214	833	--	--	--
													
UpLy-12-10--12	Be-10 (qtz)	13968	219	1129	13739	216	1056	13350	210	818	--	--	--
													
UpLy-12-10--13	Be-10 (qtz)	15091	240	1238	14815	236	1155	14445	230	897	--	--	--
													
UpLy-12-10--14	Be-10 (qtz)	14512	234	1205	14271	230	1127	13906	224	874	--	--	--
													
UpLy-12-10--15	Be-10 (qtz)	14922	234	1206	14664	230	1128	14299	225	876	--	--	--
													
UpLy-12-10--16	Be-10 (qtz)	14690	232	1193	14443	228	1116	14086	222	867	--	--	--
													
UpLy-12-10--17	Be-10 (qtz)	14680	236	1216	14430	232	1137	14066	226	882	--	--	--
													
UpLy-12-10--18	Be-10 (qtz)	14401	226	1164	14170	222	1089	13795	217	845	--	--	--
													
UpLy-12-10--19	Be-10 (qtz)	14905	237	1222	14645	233	1142	14280	227	887	--	--	--
													
UpLy-12-10--20	Be-10 (qtz)	14738	231	1191	14489	228	1114	14137	222	866	--	--	--
													
UpLy-12-10--21	Be-10 (qtz)	15146	243	1252	14858	238	1168	14489	232	907	--	--	--
													
UpLy-12-10--22	Be-10 (qtz)	14754	232	1196	14503	228	1118	14148	223	869	--	--	--
													
UpLy-12-10--23	Be-10 (qtz)	14767	239	1228	14510	234	1147	14142	228	890	--	--	--
													
UpLy-12-10--24	Be-10 (qtz)	14910	241	1239	14646	236	1157	14272	230	898	--	--	--
													
UpLy-12-10--25	Be-10 (qtz)	14922	234	1206	14664	230	1128	14302	225	876	--	--	--
													
UpLy-12-10--26	Be-10 (qtz)	14730	240	1234	14474	235	1153	14107	229	894	--	--	--
													
UpLy-12-10--27	Be-10 (qtz)	14018	225	1158	13785	221	1083	13387	215	837	--	--	--
													
UpLy-12-10--28	Be-10 (qtz)	14938	240	1237	14675	236	1155	14303	230	897	--	--	--
													
UpLy-12-10--29	Be-10 (qtz)	14332	225	1158	14106	221	1085	13719	215	840	--	--	--
													
UpLy-12-10--30	Be-10 (qtz)	14483	231	1188	14245	227	1112	13874	221	862	--	--	--
													
UpLy-12-10--31	Be-10 (qtz)	14786	236	1214	14531	232	1135	14166	226	881	--	--	--
													
UpLy-12-10--32	Be-10 (qtz)	15380	248	1277	15052	243	1188	14706	237	924	--	--	--
													
UpLy-12-10--33	Be-10 (qtz)	14922	239	1229	14660	234	1148	14293	228	891	--	--	--
													
UpLy-12-10--34	Be-10 (qtz)	14222	223	1149	14004	220	1077	13611	214	834	--	--	--
													
UpLy-12-10--35	Be-10 (qtz)	14644	235	1212	14397	231	1133	14033	225	879	--	--	--
													
UpLy-12-10--36	Be-10 (qtz)	14733	232	1194	14484	228	1117	14127	222	868	--	--	--
													
UpLy-12-10--37	Be-10 (qtz)	14741	240	1233	14485	235	1152	14112	229	893	--	--	--
													
UpLy-12-10--38	Be-10 (qtz)	14673	239	1231	14421	235	1150	14054	229	892	--	--	--
													
UpLy-12-10--39	Be-10 (qtz)	14948	235	1208	14689	231	1129	14326	225	878	--	--	--
													
UpLy-12-10--40	Be-10 (qtz)	15674	256	1316	15308	249	1221	14930	243	948	--	--	--
													
UpLy-12-10--41	Be-10 (qtz)	14596	231	1191	14355	228	1114	14005	222	866	--	--	--
													
UpLy-12-10--42	Be-10 (qtz)	14495	231	1191	14257	228	1114	13890	222	864	--	--	--
													
UpLy-12-10--43	Be-10 (qtz)	15188	242	1244	14895	237	1161	14529	231	902	--	--	--
													
UpLy-12-10--44	Be-10 (qtz)	15052	238	1227	14783	234	1146	14413	228	890	--	--	--
													
UpLy-12-10--45	Be-10 (qtz)	14385	226	1163	14154	222	1088	13776	216	844	--	--	--
													
UpLy-12-10--46	Be-10 (qtz)	15035	243	1249	14767	238	1166	14392	232	905	--	--	--
													
UpLy-12-10--47	Be-10 (qtz)	14635	230	1183	14393	226	1107	14042	220	860	--	--	--
													
UpLy-12-10--48	Be-10 (qtz)	14918	235	1212	14659	231	1133	14291	225	880	--	--	--
													
UpLy-12-10--49	Be-10 (qtz)	14688	234	1205	14439	230	1127	14079	224	875	--	--	--
													
UpLy-12-10--50	Be-10 (qtz)	14561	232	1192	14321	228	1115	13971	222	866	--	--	--
													
UpLy-12-10--51	Be-10 (qtz)	14547	233	1197	14306	229	1120	13946	223	869	--	--	--
													
UpLy-12-10--52	Be-10 (qtz)	14694	233	1202	14446	229	1124	14084	224	872	--	--	--
													
UpLy-12-10--53	Be-10 (qtz)	14724	238	1224	14470	234	1144	14102	227	887	--	--	--
													
UpLy-12-10--54	Be-10 (qtz)	14675	234	1206	14427	230	1127	14067	224	875	--	--	--
													
UpLy-12-10--55	Be-10 (qtz)	15266	249	1279	14955	243	1191	14593	237	925	--	--	--
													
UpLy-12-10--56	Be-10 (qtz)	14880	236	1215	14622	232	1135	14257	226	882	--	--	--
													
UpLy-12-10--57	Be-10 (qtz)	14996	235	1212	14735	231	1133	14368	226	880	--	--	--
													
UpLy-12-10--58	Be-10 (qtz)	14982	238	1223	14720	233	1143	14349	227	887	--	--	--
													
UpLy-12-10--59	Be-10 (qtz)	14475	234	1203	14235	230	1125	13865	224	872	--	--	--
													
UpLy-12-10--60	Be-10 (qtz)	14492	229	1179	14256	225	1103	13896	219	856	--	--	--
													
UpLy-12-10--61	Be-10 (qtz)	15424	249	1280	15090	243	1191	14746	237	926	--	--	--
													
UpLy-12-10--62	Be-10 (qtz)	15470	256	1318	15123	250	1224	14773	244	951	--	--	--
													
UpLy-12-10--63	Be-10 (qtz)	14699	234	1205	14450	230	1127	14088	224	875	--	--	--
													
UpLy-12-10--64	Be-10 (qtz)	14121	223	1146	13900	219	1073	13507	213	831	--	--	--
													
UpLy-12-10--65	Be-10 (qtz)	14817	235	1212	14560	231	1132	14201	225	880	--	--	--
													
UpLy-12-10--66	Be-10 (qtz)	14837	236	1217	14579	232	1137	14210	226	883	--	--	--
													
UpLy-12-10--67	Be-10 (qtz)	15430	247	1269	15096	241	1181	14759	236	919	--	--	--
													
UpLy-12-10--68	Be-10 (qtz)	15350	250	1287	15025	244	1197	14672	239	931	--	--	--
													
UpLy-12-10--69	Be-10 (qtz)	14638	236	1213	14391	232	1134	14034	226	881	--	--	--
													
UpLy-12-10--70	Be-10 (qtz)	14648	231	1190	14404	227	1113	14050	222	865	--	--	--
													
UpLy-12-10--71	Be-10 (qtz)	14473	233	1199	14234	229	1122	13860	223	869	--	--	--
													
UpLy-12-10--72	Be-10 (qtz)	15028	237	1220	14765	233	1140	14396	227	886	--	--	--
													
UpLy-12-10--73	Be-10 (qtz)	14136	223	1149	13917	220	1076	13518	213	832	--	--	--
													
UpLy-12-10--74	Be-10 (qtz)	14629	236	1216	14382	232	1137	14023	226	882	--	--	--
													
UpLy-12-10--75	Be-10 (qtz)	14507	229	1177	14270	225	1102	13918	219	856	--	--	--
													
UpLy-12-10--76	Be-10 (qtz)	14458	232	1194	14220	228	1117	13837	222	865	--	--	--
													
