Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	January	226.37	16.8616284078955	8.34410044122346	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	February	301.24	23.5506963298221	11.3488130897927	85	2.5477144909688	5.83921577115476	12
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	March	492.02	28.7349119513681	13.5736349941043	85	-0.0664623655913972	6.28869237840322	15
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	April	624.86	27.964619630221	14.4876728535147	85	-3.03055178571429	7.17923091932284	16
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	May	749.18	17.1876134445772	13.7126980511005	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	June	761.13	2.95309769603061	6.69855783622587	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	July	768.12	0.205567259088746	0.663293384427622	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	August	684.29	0.0867620032142055	0.304264055212546	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	September	538.77	0.00346196033619037	0.00373483683267424	85			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	October	363.54	0.311107784004488	0.347477433486673	87			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	November	239.73	2.5387264352159	1.52661293748064	86			
AGP	Agnew Pass	37.7244	-119.143	9450	2880	San Joaquin	BOTH	December	195.48	8.93441469547073	4.68698146259392	86			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	January	199.43	3.14695220475648		2			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	February	276.89	20.4941106055608		44			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	March	475.42	25.1336531510009		43			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	April	627.51	25.5601937953711		46			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	May	774.47	9.0012512442712		30			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	June	795.48			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	July	798.13			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	August	694.33			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	September	527.02			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	October	339.04			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	November	213.04			0			
BDF	Badger Flat	37.265	-119.108	8300	2530	San Joaquin	MONTHLY	December	169.46			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	January	181.78	3.16272102348936		2			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	February	256.22	13.7852524841109		24			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	March	445.88	16.2764673642621		24			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	April	593.45	12.1589954205404		62			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	May	735.96	0.536696766764563		23			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	June	756.84			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	July	759.03			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	August	657.89			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	September	495.58			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	October	315.1			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	November	194.92			0			
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	December	153.67			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	January	231.22	3.14113719696034		1			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	February	308.54	19.1869767598108		38			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	March	503	22.2685617334271		43			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	April	632.37	21.4561603630336		78			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	May	752.4	4.57406001915022		68			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	June	761.02			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	July	769.63			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	August	690.65			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	September	549.41			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	October	372.49			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	November	244.97			0			
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	December	199.03			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	January	220.58			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	February	300.52	27.1417643162971		34			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	March	505.73	35.5616865070748		41			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	April	657.81	40.1775834200327		61			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	May	805.01	35.5123344205589		23			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	June	823.98			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	July	828.23			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	August	725.45			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	September	557.79			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	October	365.83			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	November	234.71			0			
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	December	188.97			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	January	214.39	3.13606096595499		2			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	February	293.09	15.6411658876173		14			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	March	495.72	15.3312768286791		11			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	April	648.29	18.3118703312363		58			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	May	795.74	12.8106792975039		7			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	June	816.1			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	July	819.2			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	August	716.12			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	September	547.62			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	October	357.25			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	November	228.25			0			
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	December	183.31			0			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	January	206.15	14.5355118366285	9.29507060054846	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	February	283.03	22.9239900378255	11.7601007449163	32			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	March	478.79	30.2331898574842	14.3709284316689	32			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	April	623.26	26.7720287356322	17.5203979726256	29			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	May	761.43	12.814366359447	16.3345146241853	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	June	778.64	2.3319880952381	6.5997734469672	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	July	783.1	0.0288364055299539	0.139382750293564	28			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	August	687.15	0.00353798126951093	0.0185374879377558	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	September	528.45	0.00129032258064516	0.00587760466169168	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	October	345.2	0.135119667013528	0.424546643524794	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	November	219.75	1.25079569892473	1.97434737773799	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	December	175.93	5.62958376690947	4.57439393542716	31			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	January	215.56			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	February	292.89	15.9977449740775		12			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	March	488.35	21.5835961681003		28			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	April	627.42	18.3065909166951		67			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	May	759.52	4.03529910528669		43			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	June	773.87			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	July	779.65			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	August	689.49			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	September	536.79			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	October	355.73			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	November	229.34			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	December	184.69			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	January	208.62			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	February	286.1	25.7887866182937		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	March	483.34	33.0280004328467		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	April	628.7	33.4704157575932		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	May	767.98	17.9135331951591		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	June	785.27			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	July	789.79			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	August	693.04			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	September	533.3			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	October	348.78			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	November	222.36			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	December	178.23			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	January	202.81			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	February	279.64	16.9603921301165		13			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	March	475	20.3060030080604		32			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	April	620.32	18.9466326107629		67			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	May	759.66	4.68106977018386		42			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	June	777.49			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	July	781.63			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	August	684.47			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	September	524.78			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	October	341.48			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	November	216.46			0			
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	December	172.91			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	January	208.59			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	February	286.49	19.6796521694954		9			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	March	485.88	31.8326811151846		20			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	April	635.42	30.9477789583452		40			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	May	779.89	21.4680685053582		16			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	June	799.11			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	July	802.8			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	August	701.53			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	September	536.92			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	October	349.59			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	November	222.39			0			
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	December	178.18			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	January	236.88	3.17062623143265		3			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	February	316.71	16.934804564431		15			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	March	520.61	24.7893947656003		13			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	April	663.06	27.2486838843451		53			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	May	798.9	19.4330058210209		3			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	June	812.9	0		1			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	July	819.57			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	August	727.19			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	September	570.62			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	October	383			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	November	251.04			0			
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	December	204.28			0			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	January	223.12	15.6339353169869	7.18837422368414	90	2.92258064516129		1
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	February	303.2	21.7279977437949	9.50500974756812	90	2.26609657224959	5.34470390325191	24
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	March	508.88	27.7697700600912	11.5810751862865	90	0.50515814830331	4.91334472388546	22
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	April	659.8	25.6033349595371	11.7610108726536	90	-4.63170634920635	2.94895903003866	21
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	May	807.54	13.9003945507839	11.136037850364	90	-14.3690629800307	5.8912085851905	21
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	June	827.72	2.90854515722893	5.15053986987522	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	July	831.21	0.0948485149379278	0.329927624362439	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	August	727.46	0.0147895291608833	0.0278670384613683	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	September	560.8	0.0112719398787623	0.0238397281177213	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	October	368.89	0.378274274720522	0.327477795196932	91			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	November	237.21	3.17438104100852	1.74656338795917	91			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	December	191.3	9.17442679645561	4.3268681035634	91			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	January	209.57	12.047688172043	9.92205147801761	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	February	285.69	17.0570833333333	14.6555338053227	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	March	482.91	16.7764200964034	13.9459739995357	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	April	628.5	10.3079333333333	12.1768509804465	5			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	May	766.02	2.93451612903226	4.89799154332829	7			
