Sample_Name	Latitude_DD	Longitude_DD	Elevation_m	Boulder_Height_m	Month	Est_Avg_SWE_m	Est_SWE_SD	Est_Avg_Snow_Density	Est_Snow_Density_SD	Est_Avg_Snow_Depth_m	Est_Snow_Depth_SD	Snow_Surf_Rel_to_Sample_m	monthly_Ssnow	monthly_Ssnow_SD	annual_Ssnow	annual_Ssnow_SD
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	January	0.461838439	0.109238197	0.337022344	0.021213664	1.375855579	0.338245836	0.021904574	0.995260106	0.017380229	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	January	0.466058492	0.113087933	0.337934541	0.021815336	1.384481358	0.347021237	0.639703767	0.877262409	0.061601347	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	January	0.466814563	0.107832625	0.336998862	0.02081836	1.390810542	0.334596426	0.546929042	0.888439816	0.063482056	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	January	0.401132145	0.09442627	0.32794042	0.02018227	1.226467537	0.292383724	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	January	0.415720364	0.098644509	0.331347112	0.020820815	1.259129583	0.308155448	0.80048634	0.82498593	0.063195253	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	January	0.401257844	0.090440114	0.328083946	0.021331336	1.228109673	0.288410641	0.193008539	0.963031274	0.040992995	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	January	0.39387163	0.090388779	0.32787617	0.020155769	1.204880423	0.283379815	7.69E-06	0.999998547	4.59E-05	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	January	0.399373081	0.091508374	0.32928169	0.021298455	1.217458031	0.290447478	0.427617565	0.913602248	0.053295177	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	January	0.398287433	0.088220184	0.328493862	0.020468748	1.21767598	0.283293038	0.408421688	0.918231581	0.051134726	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	January	0.399358425	0.09301795	0.32744747	0.020422482	1.223641521	0.293827668	0.084319844	0.983514219	0.029563995	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	January	0.402174058	0.089470102	0.327840952	0.021396271	1.232574264	0.289257743	0.13094153	0.973458968	0.036907207	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	January	0.390152508	0.093804364	0.328286127	0.020808016	1.193286695	0.297783828	0.546717535	0.885754069	0.05765906	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	January	0.391756864	0.090601047	0.32796727	0.021841695	1.200063248	0.290989337	0.038566304	0.99229756	0.019540062	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	January	0.388997175	0.089833901	0.327597998	0.020601605	1.193085918	0.290394639	0.546047538	0.880253268	0.058444658	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	January	0.391782902	0.090007757	0.327175945	0.021039469	1.202221412	0.287241364	0.348094077	0.929259768	0.05077664	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	January	0.412576518	0.094156733	0.329736989	0.020463067	1.256443564	0.297591482	0.303110368	0.935665338	0.053017683	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	January	0.405742635	0.089576013	0.330994191	0.020764941	1.231110447	0.284285722	0.438672103	0.91350319	0.050909758	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	January	0.405440361	0.091741119	0.330949325	0.021109402	1.230415665	0.291212033	0.022649423	0.995179169	0.015857812	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	February	0.581155344	0.120635193	0.352955261	0.020872014	1.65197447	0.354809459	0.085775541	0.980141453	0.037840806	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	February	0.585551821	0.12555637	0.353896138	0.021393292	1.661090687	0.374128048	0.911979571	0.822018915	0.066339563	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	February	0.578091149	0.127014256	0.351908314	0.021459073	1.648128723	0.372427753	0.799035718	0.834771276	0.0708062	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	February	0.549883874	0.119380895	0.347243609	0.021372441	1.589393183	0.358660386	0.001487261	0.999680593	0.004234815	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	February	0.560894566	0.115607379	0.348948222	0.021040659	1.613599006	0.348297251	1.15420168	0.746773423	0.068953702	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	February	0.548893179	0.115255398	0.347212501	0.021320795	1.587126381	0.349944544	0.499974452	0.901400189	0.063314248	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	February	0.542108243	0.118494208	0.346371943	0.019988953	1.56984646	0.354044973	0.001644143	0.999692679	0.004340366	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	February	0.546763425	0.117439012	0.345791402	0.02003731	1.587367844	0.357222176	0.789888085	0.83868484	0.067395548	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	February	0.539294913	0.115729562	0.34680351	0.020772491	1.561380607	0.351863113	0.74410846	0.848496896	0.065012594	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	February	0.545234327	0.114531942	0.347930888	0.021722306	1.572493902	0.342551504	0.311579298	0.936191191	0.057625857	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	February	0.539369723	0.111991749	0.348222691	0.022037689	1.555865551	0.340801795	0.381871334	0.918942847	0.060096727	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	February	0.540185285	0.121580866	0.34623579	0.020922328	1.565765382	0.363347168	0.915732349	0.806196169	0.073113255	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	February	0.539960951	0.122091107	0.345074244	0.020753516	1.571273182	0.372493145	0.228251023	0.952004927	0.055502962	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	February	0.533209363	0.121627313	0.34613802	0.022566122	1.546866582	0.36707233	0.897078895	0.801051683	0.075109408	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	February	0.531915791	0.119976827	0.346525913	0.020938106	1.541035646	0.361326978	0.673714673	0.859545008	0.069843356	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	February	0.545610147	0.117364925	0.348627027	0.021580587	1.570533916	0.35105701	0.595543743	0.870119998	0.069826198	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	February	0.554268277	0.122256272	0.347227352	0.021512529	1.603770771	0.373303104	0.805446065	0.839877602	0.067601141	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	February	0.550970597	0.123615653	0.347478422	0.020369809	1.590980685	0.369538271	0.171078185	0.961693311	0.05092532	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	March	0.74128571	0.173932122	0.373977248	0.02105714	1.987128992	0.473817492	0.301407103	0.928310949	0.079420333	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	March	0.748381344	0.170432206	0.373743642	0.020585948	2.00826701	0.469061806	1.259116583	0.751746546	0.082393067	0.904212779	0.017019714
