Sample_Name	Elevation_m	Boulder_Height_m	Snow_Shielding	Snow_Shielding_SD
C2-Boulder1	3409	1.8	0.97417815	0.016934742
C2-Boulder2	3417	0.75	0.904303131	0.019560967
UpLy-12-10	3400	0.85	0.909864744	0.020003585
TM14-01	2955	0.46	0.880557726	0.022183289
LoLy-11-08	2742	2.5	0.998050372	0.004244789
TM14-02	2751	1.1	0.95349553	0.019448254
TM14-03	2740	2.5	0.998231014	0.00420051
TM14-04	2743	0.8	0.927829965	0.023934557
TM14-05	2740	0.82	0.930370376	0.018716608
TM14-06	2744	1.3	0.964383512	0.018674297
TM14-07	2709	1.2	0.958164415	0.019726287
TM14-11	2672.7	0.65	0.914568301	0.019430881
TM14-12	2679.8	1.43	0.972280181	0.013825505
TM14-13	2678.9	0.65	0.910151576	0.020723195
TM14-15	2638.5	0.87	0.935949675	0.018222733
TM14-16	2854.4	0.98	0.936002848	0.018059792
TM14-17	2853.5	0.8	0.927721431	0.017591476
TM14-18	2858.6	1.55	0.974682042	0.014162066
