Sample_Name	Latitude_DD	Longitude_DD	Elevation_m	Elevation_Flag	Sample_Thickness_cm	Sample_Density_gcm3	Shielding	Erosion_Rate_cmyr	Collection_Year	End_of_Line1	Sample_Name2	Nuclide	Mineral	Nuclide_Conc	Nuclide_Uncert	Standard	End_of_Line2
C2-Boulder1	37.7993	-119.2155	3409	std	3.5	2.78	0.963793410575323	1e-04	2012	;	C2-Boulder1	Be-10	quartz	600030	8020	07KNSTD	;
C2-Boulder2	37.7996	-119.2155	3417	std	4.5	2.78	0.895820767982387	1e-04	2012	;	C2-Boulder2	Be-10	quartz	564290	13150	07KNSTD	;
UpLy-12-10	37.799	-119.216	3400	std	3	2.78	0.901948920782786	1e-04	2012	;	UpLy-12-10	Be-10	quartz	535090	8240	07KNSTD	;
TM14-01	37.778	-119.2611	2955	std	2	2.78	0.858834367142528	0	2014	;	TM14-01	Be-10	quartz	432180	7210	07KNSTD	;
LoLy-11-08	37.8005	-119.2635	2742	std	2	2.78	0.959485705844319	1e-04	2011	;	LoLy-11-08	Be-10	quartz	377210	9140	07KNSTD	;
TM14-02	37.7913	-119.2622	2751	std	5	2.78	0.925148108069549	0	2014	;	TM14-02	Be-10	quartz	361270	6060	07KNSTD	;
TM14-03	37.7945	-119.2623	2740	std	4	2.78	0.966587091337795	0	2014	;	TM14-03	Be-10	quartz	385360	7810	07KNSTD	;
TM14-04	37.7974	-119.2626	2743	std	0.5	2.78	0.897128071261738	0	2014	;	TM14-04	Be-10	quartz	358220	5350	07KNSTD	;
TM14-05	37.801	-119.2634	2740	std	0.5	2.78	0.897723679102007	0	2014	;	TM14-05	Be-10	quartz	351970	8330	07KNSTD	;
TM14-06	37.8054	-119.2657	2744	std	0.5	2.78	0.930282910932563	1e-04	2014	;	TM14-06	Be-10	quartz	370770	6350	07KNSTD	;
TM14-07	37.8647	-119.3066	2709	std	4	2.667	0.956727168390817	1e-04	2014	;	TM14-07	Be-10	quartz	411860	7050	07KNSTD	;
TM14-11	37.8802	-119.3929	2672.7	std	2	2.667	0.910205810623227	1e-04	2014	;	TM14-11	Be-10	quartz	341560	6690	07KNSTD	;
TM14-12	37.8803	-119.3935	2679.8	std	3	2.667	0.971784318018413	1e-04	2014	;	TM14-12	Be-10	quartz	394770	6710	07KNSTD	;
TM14-13	37.8807	-119.3933	2678.9	std	2.5	2.667	0.894560679095735	1e-04	2014	;	TM14-13	Be-10	quartz	555020	11250	07KNSTD	;
TM14-15	37.9007	-119.4005	2638.5	std	2.5	2.78	0.93308566942104	0	2014	;	TM14-15	Be-10	quartz	367840	5740	07KNSTD	;
TM14-16	37.882	-119.3461	2854.4	std	3	2.78	0.931697235174275	0	2014	;	TM14-16	Be-10	quartz	382900	7380	07KNSTD	;
TM14-17	37.8839	-119.3453	2853.5	std	1.5	2.78	0.927109134909704	0	2014	;	TM14-17	Be-10	quartz	418720	7290	07KNSTD	;
TM14-18	37.8841	-119.3452	2858.6	std	2	2.78	0.969038633063099	0	2014	;	TM14-18	Be-10	quartz	440290	7210	07KNSTD	;
